symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TXN,2017-05-30 00:00:00+00:00,81.97,82.2,81.0,81.0,3244211,71.869623248,72.0712825544,71.0191470427,71.0191470427,3244211,0.0,1.0
TXN,2017-05-31 00:00:00+00:00,82.49,83.24,82.18,82.2,6355071,72.3255486364,72.9831333313,72.0537469626,72.0712825544,6355071,0.0,1.0
TXN,2017-06-01 00:00:00+00:00,81.49,82.8642,81.215,82.61,4292961,71.4487690433,72.6536395602,71.2076546552,72.4307621876,4292961,0.0,1.0
TXN,2017-06-02 00:00:00+00:00,81.63,81.97,80.86,81.96,4714171,71.5715181864,71.869623248,70.8963978997,71.8608554521,4714171,0.0,1.0
TXN,2017-06-05 00:00:00+00:00,81.885,82.38,81.66,81.66,2467546,71.7950969826,72.2291028812,71.5978215742,71.5978215742,2467546,0.0,1.0
TXN,2017-06-06 00:00:00+00:00,82.22,82.875,81.51,81.65,3222387,72.0888181463,72.6631087798,71.4663046352,71.5890537782,3222387,0.0,1.0
TXN,2017-06-07 00:00:00+00:00,82.89,83.43,82.29,82.8,3705908,72.6762604737,73.149721454,72.1501927178,72.5973503103,3705908,0.0,1.0
TXN,2017-06-08 00:00:00+00:00,84.34,84.36,82.62,83.2,4332428,73.9475908837,73.9651264756,72.4395299835,72.9480621476,4332428,0.0,1.0
TXN,2017-06-09 00:00:00+00:00,80.9,84.65,79.94,84.23,6785300,70.9314690834,74.2193925576,70.089760674,73.8511451285,6785300,0.0,1.0
TXN,2017-06-12 00:00:00+00:00,81.05,81.32,79.6678,79.82,6724786,71.0629860223,71.2997165125,69.8511012687,69.9845471228,6724786,0.0,1.0
TXN,2017-06-13 00:00:00+00:00,80.99,81.8,80.6,81.41,4274125,71.0103792468,71.7205707172,70.6684352054,71.3786266759,4274125,0.0,1.0
TXN,2017-06-14 00:00:00+00:00,80.16,81.49,79.44,81.26,3919507,70.2826521845,71.4487690433,69.6513708774,71.2471097369,3919507,0.0,1.0
