symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ULTA,2017-05-30 00:00:00+00:00,303.0,306.87,302.0,302.02,805653,303.0,306.87,302.0,302.02,805653,0.0,1.0
ULTA,2017-05-31 00:00:00+00:00,304.84,304.97,301.3,304.11,552670,304.84,304.97,301.3,304.11,552670,0.0,1.0
ULTA,2017-06-01 00:00:00+00:00,306.72,307.19,304.27,304.45,507158,306.72,307.19,304.27,304.45,507158,0.0,1.0
ULTA,2017-06-02 00:00:00+00:00,311.47,311.78,307.7,309.99,679836,311.47,311.78,307.7,309.99,679836,0.0,1.0
ULTA,2017-06-05 00:00:00+00:00,313.73,314.86,311.54,313.14,838590,313.73,314.86,311.54,313.14,838590,0.0,1.0
ULTA,2017-06-06 00:00:00+00:00,306.96,314.08,306.01,313.21,933334,306.96,314.08,306.01,313.21,933334,0.0,1.0
ULTA,2017-06-07 00:00:00+00:00,307.94,309.63,306.88,307.93,479764,307.94,309.63,306.88,307.93,479764,0.0,1.0
ULTA,2017-06-08 00:00:00+00:00,307.27,310.0,305.52,309.0,532354,307.27,310.0,305.52,309.0,532354,0.0,1.0
ULTA,2017-06-09 00:00:00+00:00,307.87,310.19,306.84,308.33,507495,307.87,310.19,306.84,308.33,507495,0.0,1.0
ULTA,2017-06-12 00:00:00+00:00,301.02,307.49,300.48,305.88,824022,301.02,307.49,300.48,305.88,824022,0.0,1.0
ULTA,2017-06-13 00:00:00+00:00,302.69,303.02,299.02,301.68,531210,302.69,303.02,299.02,301.68,531210,0.0,1.0
ULTA,2017-06-14 00:00:00+00:00,302.21,303.51,299.45,302.44,635053,302.21,303.51,299.45,302.44,635053,0.0,1.0
ULTA,2017-06-15 00:00:00+00:00,300.13,300.74,296.94,300.73,385845,300.13,300.74,296.94,300.73,385845,0.0,1.0
ULTA,2017-06-16 00:00:00+00:00,295.94,299.6,294.41,298.42,799734,295.94,299.6,294.41,298.42,799734,0.0,1.0
ULTA,2017-06-19 00:00:00+00:00,294.17,297.0,291.04,296.69,876650,294.17,297.0,291.04,296.69,876650,0.0,1.0
ULTA,2017-06-20 00:00:00+00:00,296.5,299.97,294.85,294.85,999292,296.5,299.97,294.85,294.85,999292,0.0,1.0
ULTA,2017-06-21 00:00:00+00:00,288.84,296.89,288.22,295.67,979121,288.84,296.89,288.22,295.67,979121,0.0,1.0
ULTA,2017-06-22 00:00:00+00:00,284.14,290.51,283.1,288.8,1093110,284.14,290.51,283.1,288.8,1093110,0.0,1.0
ULTA,2017-06-23 00:00:00+00:00,284.71,286.19,280.95,282.21,795564,284.71,286.19,280.95,282.21,795564,0.0,1.0
ULTA,2017-06-26 00:00:00+00:00,289.72,291.56,285.0,285.0,735458,289.72,291.56,285.0,285.0,735458,0.0,1.0
ULTA,2017-06-27 00:00:00+00:00,282.86,289.71,280.98,289.44,885572,282.86,289.71,280.98,289.44,885572,0.0,1.0
ULTA,2017-06-28 00:00:00+00:00,285.28,286.96,280.32,283.28,524723,285.28,286.96,280.32,283.28,524723,0.0,1.0
ULTA,2017-06-29 00:00:00+00:00,285.88,286.5,281.37,284.9,760052,285.88,286.5,281.37,284.9,760052,0.0,1.0
ULTA,2017-06-30 00:00:00+00:00,287.34,289.85,284.34,287.51,713705,287.34,289.85,284.34,287.51,713705,0.0,1.0
ULTA,2017-07-03 00:00:00+00:00,283.36,288.34,282.78,287.7,333040,283.36,288.34,282.78,287.7,333040,0.0,1.0
ULTA,2017-07-05 00:00:00+00:00,279.04,283.97,276.12,281.0,1287165,279.04,283.97,276.12,281.0,1287165,0.0,1.0
ULTA,2017-07-06 00:00:00+00:00,273.24,277.72,271.43,276.51,1070702,273.24,277.72,271.43,276.51,1070702,0.0,1.0
ULTA,2017-07-07 00:00:00+00:00,276.97,278.94,272.04,273.92,576123,276.97,278.94,272.04,273.92,576123,0.0,1.0
