symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VIAB,2017-04-28 00:00:00+00:00,42.56,43.36,42.43,43.36,6398102,39.7750751336,40.5227269218,39.653581718,40.5227269218,6398102,0.0,1.0
VIAB,2017-05-01 00:00:00+00:00,42.6,43.03,42.3,42.63,3068360,39.812457723,40.2143205592,39.5320883024,39.8404946651,3068360,0.0,1.0
VIAB,2017-05-02 00:00:00+00:00,42.46,43.07,42.06,42.82,3949762,39.6816186601,40.2517031486,39.307792766,40.0180619648,3949762,0.0,1.0
VIAB,2017-05-03 00:00:00+00:00,39.26,44.12,39.13,44.12,11947496,36.6910115072,41.2329961206,36.5695180916,41.2329961206,11947496,0.0,1.0
VIAB,2017-05-04 00:00:00+00:00,36.46,38.29,35.2,37.0,23098909,34.0742302484,35.7844837139,32.8966786819,34.5788952054,23098909,0.0,1.0
VIAB,2017-05-05 00:00:00+00:00,36.82,37.22,36.11,37.1,8929668,34.4106735531,34.7844994472,33.747132591,34.672351679,8929668,0.0,1.0
VIAB,2017-05-08 00:00:00+00:00,36.41,36.91,35.94,36.79,6153036,34.0275020116,34.4947843793,33.588256586,34.382636611,6153036,0.0,1.0
VIAB,2017-05-09 00:00:00+00:00,36.23,36.45,35.9,36.3,4620397,33.8592803593,34.064884601,33.5508739966,33.9246998907,4620397,0.0,1.0
VIAB,2017-05-10 00:00:00+00:00,34.95,35.7,34.5,35.69,10552284,32.6630374981,33.3639610496,32.2424833672,33.3546154022,10552284,0.0,1.0
VIAB,2017-05-11 00:00:00+00:00,34.52,35.12,34.43,34.85,5618152,32.2611746619,32.8219135031,32.1770638358,32.5695810246,5618152,0.0,1.0
VIAB,2017-05-12 00:00:00+00:00,34.61,34.7,34.245,34.5,4377238,32.3452854881,32.4293963143,32.0041693597,32.2424833672,4377238,0.0,1.0
