symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOD,2017-04-28 00:00:00+00:00,26.19,26.22,25.895,26.0,3900376,19.2912347898,19.3133324242,19.0739413854,19.1512831056,3900376,0.0,1.0
VOD,2017-05-01 00:00:00+00:00,26.21,26.25,26.13,26.24,2567242,19.3059665461,19.3354300585,19.2470395211,19.3280641804,2567242,0.0,1.0
VOD,2017-05-02 00:00:00+00:00,26.5,26.55,26.37,26.41,3600891,19.5195770115,19.5564064021,19.4238205959,19.4532841084,3600891,0.0,1.0
VOD,2017-05-03 00:00:00+00:00,26.54,26.73,26.485,26.69,3479613,19.5490405239,19.6889922082,19.5085281943,19.6595286957,3479613,0.0,1.0
VOD,2017-05-04 00:00:00+00:00,26.75,26.77,26.45,26.58,3008398,19.7037239644,19.7184557206,19.4827476209,19.5785040364,3008398,0.0,1.0
VOD,2017-05-05 00:00:00+00:00,27.01,27.02,26.8743,26.98,4542494,19.8952367955,19.9026026736,19.7952818294,19.8731391611,4542494,0.0,1.0
VOD,2017-05-08 00:00:00+00:00,26.96,27.23,26.88,27.23,2520633,19.8584074049,20.0572861141,19.7994803799,20.0572861141,2520633,0.0,1.0
VOD,2017-05-09 00:00:00+00:00,26.95,26.96,26.72,26.87,4605268,19.8510415268,19.8584074049,19.6816263301,19.7921145018,4605268,0.0,1.0
VOD,2017-05-10 00:00:00+00:00,27.13,27.27,27.02,27.08,4289959,19.9836273329,20.0867496265,19.9026026736,19.9467979423,4289959,0.0,1.0
VOD,2017-05-11 00:00:00+00:00,26.94,27.04,26.87,26.94,3690474,19.8436756486,19.9173344298,19.7921145018,19.8436756486,3690474,0.0,1.0
VOD,2017-05-12 00:00:00+00:00,27.58,27.65,27.39,27.5,5331555,20.3150918482,20.366652995,20.1751401639,20.2561648232,5331555,0.0,1.0
VOD,2017-05-15 00:00:00+00:00,27.58,27.67,27.42,27.47,2740149,20.3150918482,20.3813847512,20.1972377983,20.2340671889,2740149,0.0,1.0
VOD,2017-05-16 00:00:00+00:00,28.69,28.91,28.56,28.78,6733602,21.1327043192,21.2947536378,21.0369479037,21.1989972223,6733602,0.0,1.0
VOD,2017-05-17 00:00:00+00:00,28.84,29.19,28.83,28.98,7196980,21.243192491,21.5009982251,21.2358266129,21.3463147846,7196980,0.0,1.0
VOD,2017-05-18 00:00:00+00:00,29.01,29.095,28.85,28.98,5787333,21.368412419,21.431022383,21.2505583691,21.3463147846,5787333,0.0,1.0
VOD,2017-05-19 00:00:00+00:00,29.18,29.21,29.0378,29.13,4595111,21.493632347,21.5157299813,21.3888895601,21.4568029564,4595111,0.0,1.0
VOD,2017-05-22 00:00:00+00:00,29.62,29.8,29.5501,29.57,5991701,21.8177309841,21.9503167903,21.7662434961,21.7809015936,5991701,0.0,1.0
VOD,2017-05-23 00:00:00+00:00,29.5,29.66,29.48,29.62,3373437,21.7293404467,21.8471944966,21.7146086905,21.8177309841,3373437,0.0,1.0
VOD,2017-05-24 00:00:00+00:00,29.63,29.6699,29.52,29.6,3387761,21.8250968623,21.854486716,21.744072203,21.8029992279,3387761,0.0,1.0
VOD,2017-05-25 00:00:00+00:00,29.91,29.98,29.83,29.92,5678531,22.0313414496,22.0829025964,21.9724144246,22.0387073277,5678531,0.0,1.0
VOD,2017-05-26 00:00:00+00:00,29.98,29.99,29.7,29.71,7249564,22.0829025964,22.0902684745,21.8766580091,21.8840238872,7249564,0.0,1.0
