symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VRSK,2017-05-30 00:00:00+00:00,81.05,81.24,80.085,80.21,765061,79.3570983007,79.5431297465,78.412254379,78.534643488,765061,0.0,1.0
VRSK,2017-05-31 00:00:00+00:00,80.89,81.44,80.38,81.26,792058,79.2004402412,79.7389523209,78.7010926763,79.5627120039,792058,0.0,1.0
VRSK,2017-06-01 00:00:00+00:00,81.17,81.5,80.82,81.05,981682,79.4745918454,79.7976990933,79.1319023401,79.3570983007,981682,0.0,1.0
VRSK,2017-06-02 00:00:00+00:00,81.86,81.89,80.9,81.42,892688,80.1501797273,80.1795531135,79.2102313699,79.7193700635,892688,0.0,1.0
VRSK,2017-06-05 00:00:00+00:00,81.47,82.21,81.45,81.83,842826,79.7683257071,80.4928692326,79.7487434497,80.1208063411,842826,0.0,1.0
VRSK,2017-06-06 00:00:00+00:00,80.67,81.4597,80.545,81.21,517827,78.9850354093,79.7582408445,78.8626463002,79.5137563603,517827,0.0,1.0
VRSK,2017-06-07 00:00:00+00:00,80.74,81.065,80.03,81.05,598192,79.0535733103,79.3717849938,78.358403171,79.3570983007,598192,0.0,1.0
VRSK,2017-06-08 00:00:00+00:00,80.38,80.89,80.07,80.58,516051,78.7010926763,79.2004402412,78.3975676859,78.8969152507,516051,0.0,1.0
VRSK,2017-06-09 00:00:00+00:00,80.07,80.51,79.89,80.39,519150,78.3975676859,78.8283773497,78.2213273688,78.710883805,519150,0.0,1.0
VRSK,2017-06-12 00:00:00+00:00,81.5,81.54,79.86,79.86,775833,79.7976990933,79.8368636082,78.1919539827,78.1919539827,775833,0.0,1.0
VRSK,2017-06-13 00:00:00+00:00,82.42,82.6,81.42,81.42,956412,80.6984829358,80.8747232528,79.7193700635,79.7193700635,956412,0.0,1.0
VRSK,2017-06-14 00:00:00+00:00,82.97,83.02,82.44,82.57,794656,81.2369950156,81.2859506592,80.7180651932,80.8453498666,794656,0.0,1.0
VRSK,2017-06-15 00:00:00+00:00,83.25,83.62,82.61,82.61,985555,81.5111466198,81.8734183826,80.8845143815,80.8845143815,985555,0.0,1.0
VRSK,2017-06-16 00:00:00+00:00,83.14,83.42,82.28,82.9,1399239,81.4034442039,81.6775958081,80.5614071337,81.1684571145,1399239,0.0,1.0
VRSK,2017-06-19 00:00:00+00:00,83.78,83.91,83.12,83.35,625769,82.0300764421,82.1573611155,81.3838619464,81.609057907,625769,0.0,1.0
VRSK,2017-06-20 00:00:00+00:00,83.91,83.92,83.24,83.47,819919,82.1573611155,82.1671522443,81.5013554911,81.7265514517,819919,0.0,1.0
VRSK,2017-06-21 00:00:00+00:00,84.06,84.18,83.545,83.91,1111092,82.3042280464,82.4217215911,81.7999849171,82.1573611155,1111092,0.0,1.0
VRSK,2017-06-22 00:00:00+00:00,83.03,84.12,83.01,84.11,950920,81.2957417879,82.3629748187,81.2761595305,82.35318369,950920,0.0,1.0
VRSK,2017-06-23 00:00:00+00:00,82.36,83.09,82.1441,83.09,1571897,80.6397361635,81.3544885602,80.4283456943,81.3544885602,1571897,0.0,1.0
VRSK,2017-06-26 00:00:00+00:00,83.18,83.55,82.62,82.68,776464,81.4426087187,81.8048804815,80.8943055103,80.9530522826,776464,0.0,1.0
VRSK,2017-06-27 00:00:00+00:00,82.82,83.15,82.3,83.02,897538,81.0901280847,81.4132353326,80.5809893911,81.2859506592,897538,0.0,1.0
VRSK,2017-06-28 00:00:00+00:00,83.96,84.0,82.68,83.03,740771,82.2063167592,82.245481274,80.9530522826,81.2957417879,740771,0.0,1.0
VRSK,2017-06-29 00:00:00+00:00,83.36,83.8567,82.99,83.82,1032756,81.6188490358,82.1051743994,81.256577273,82.069240957,1032756,0.0,1.0
VRSK,2017-06-30 00:00:00+00:00,84.37,84.68,83.54,83.91,965389,82.6077530368,82.9112780272,81.7950893528,82.1573611155,965389,0.0,1.0
VRSK,2017-07-03 00:00:00+00:00,84.17,84.96,84.15,84.87,507213,82.4119304623,83.1854296315,82.3923482049,83.097309473,507213,0.0,1.0
VRSK,2017-07-05 00:00:00+00:00,84.29,84.54,83.92,84.22,760675,82.529424007,82.7742022251,82.1671522443,82.460886106,760675,0.0,1.0
VRSK,2017-07-06 00:00:00+00:00,83.48,83.855,83.375,83.74,823082,81.7363425804,82.1035099076,81.6335357289,81.9909119272,823082,0.0,1.0
