symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VRTX,2017-05-30 00:00:00+00:00,120.39,120.99,119.19,119.52,1591126,120.39,120.99,119.19,119.52,1591126,0.0,1.0
VRTX,2017-05-31 00:00:00+00:00,123.6,123.78,120.61,120.95,2767130,123.6,123.78,120.61,120.95,2767130,0.0,1.0
VRTX,2017-06-01 00:00:00+00:00,127.16,127.89,123.54,124.0,3243479,127.16,127.89,123.54,124.0,3243479,0.0,1.0
VRTX,2017-06-02 00:00:00+00:00,129.9,130.0,126.99,128.44,2809821,129.9,130.0,126.99,128.44,2809821,0.0,1.0
VRTX,2017-06-05 00:00:00+00:00,130.17,130.69,127.22,127.85,1964829,130.17,130.69,127.22,127.85,1964829,0.0,1.0
VRTX,2017-06-06 00:00:00+00:00,127.72,129.86,127.51,129.38,1191900,127.72,129.86,127.51,129.38,1191900,0.0,1.0
VRTX,2017-06-07 00:00:00+00:00,124.99,128.91,122.93,128.27,2568426,124.99,128.91,122.93,128.27,2568426,0.0,1.0
VRTX,2017-06-08 00:00:00+00:00,125.91,126.16,124.07,125.0,1875271,125.91,126.16,124.07,125.0,1875271,0.0,1.0
VRTX,2017-06-09 00:00:00+00:00,122.66,127.08,122.47,126.48,1697468,122.66,127.08,122.47,126.48,1697468,0.0,1.0
VRTX,2017-06-12 00:00:00+00:00,122.35,123.54,121.26,122.19,2024392,122.35,123.54,121.26,122.19,2024392,0.0,1.0
VRTX,2017-06-13 00:00:00+00:00,122.49,122.75,120.77,122.38,1316483,122.49,122.75,120.77,122.38,1316483,0.0,1.0
VRTX,2017-06-14 00:00:00+00:00,124.71,125.8,122.37,122.78,1740821,124.71,125.8,122.37,122.78,1740821,0.0,1.0
VRTX,2017-06-15 00:00:00+00:00,124.04,124.48,121.15,123.76,1014747,124.04,124.48,121.15,123.76,1014747,0.0,1.0
VRTX,2017-06-16 00:00:00+00:00,123.14,124.97,122.54,124.06,3005819,123.14,124.97,122.54,124.06,3005819,0.0,1.0
VRTX,2017-06-19 00:00:00+00:00,125.58,126.37,123.8,123.99,1472078,125.58,126.37,123.8,123.99,1472078,0.0,1.0
VRTX,2017-06-20 00:00:00+00:00,126.33,127.97,123.82,125.54,1727492,126.33,127.97,123.82,125.54,1727492,0.0,1.0
VRTX,2017-06-21 00:00:00+00:00,134.83,134.99,126.52,126.72,3232343,134.83,134.99,126.52,126.72,3232343,0.0,1.0
VRTX,2017-06-22 00:00:00+00:00,135.53,137.26,132.76,134.65,2887195,135.53,137.26,132.76,134.65,2887195,0.0,1.0
VRTX,2017-06-23 00:00:00+00:00,133.5,137.0,132.12,136.58,2013697,133.5,137.0,132.12,136.58,2013697,0.0,1.0
VRTX,2017-06-26 00:00:00+00:00,133.41,135.03,131.62,133.83,1286629,133.41,135.03,131.62,133.83,1286629,0.0,1.0
VRTX,2017-06-27 00:00:00+00:00,129.23,133.18,129.1,133.15,1695812,129.23,133.18,129.1,133.15,1695812,0.0,1.0
VRTX,2017-06-28 00:00:00+00:00,131.11,131.62,128.94,129.69,1191037,131.11,131.62,128.94,129.69,1191037,0.0,1.0
VRTX,2017-06-29 00:00:00+00:00,127.24,130.92,126.32,129.66,1352499,127.24,130.92,126.32,129.66,1352499,0.0,1.0
VRTX,2017-06-30 00:00:00+00:00,128.87,132.39,126.59,132.2,1566140,128.87,132.39,126.59,132.2,1566140,0.0,1.0
VRTX,2017-07-03 00:00:00+00:00,128.23,129.89,126.68,129.49,825185,128.23,129.89,126.68,129.49,825185,0.0,1.0
VRTX,2017-07-05 00:00:00+00:00,129.0,130.44,127.34,128.31,1262921,129.0,130.44,127.34,128.31,1262921,0.0,1.0
VRTX,2017-07-06 00:00:00+00:00,128.46,128.935,125.5,127.32,1158892,128.46,128.935,125.5,127.32,1158892,0.0,1.0
VRTX,2017-07-07 00:00:00+00:00,130.35,130.88,129.12,129.14,985649,130.35,130.88,129.12,129.14,985649,0.0,1.0
VRTX,2017-07-10 00:00:00+00:00,128.66,130.36,128.64,129.93,1502817,128.66,130.36,128.64,129.93,1502817,0.0,1.0
VRTX,2017-07-11 00:00:00+00:00,132.17,132.5,129.26,129.71,1325567,132.17,132.5,129.26,129.71,1325567,0.0,1.0
VRTX,2017-07-12 00:00:00+00:00,131.44,133.62,130.6,133.38,1276279,131.44,133.62,130.6,133.38,1276279,0.0,1.0
VRTX,2017-07-13 00:00:00+00:00,130.92,131.74,128.39,131.74,1593636,130.92,131.74,128.39,131.74,1593636,0.0,1.0
VRTX,2017-07-14 00:00:00+00:00,130.99,131.81,130.43,131.77,1275060,130.99,131.81,130.43,131.77,1275060,0.0,1.0
VRTX,2017-07-17 00:00:00+00:00,129.21,132.05,128.26,130.44,1127802,129.21,132.05,128.26,130.44,1127802,0.0,1.0
VRTX,2017-07-18 00:00:00+00:00,132.16,132.3,127.67,129.21,1893303,132.16,132.3,127.67,129.21,1893303,0.0,1.0
VRTX,2017-07-19 00:00:00+00:00,159.69,167.0,158.88,161.8,16726000,159.69,167.0,158.88,161.8,16726000,0.0,1.0
VRTX,2017-07-20 00:00:00+00:00,159.33,161.76,157.25,159.94,4819086,159.33,161.76,157.25,159.94,4819086,0.0,1.0
VRTX,2017-07-21 00:00:00+00:00,163.17,163.64,156.53,158.14,3160819,163.17,163.64,156.53,158.14,3160819,0.0,1.0
VRTX,2017-07-24 00:00:00+00:00,166.11,166.58,160.91,162.33,2335667,166.11,166.58,160.91,162.33,2335667,0.0,1.0
VRTX,2017-07-25 00:00:00+00:00,161.97,167.86,161.72,166.94,2413321,161.97,167.86,161.72,166.94,2413321,0.0,1.0
VRTX,2017-07-26 00:00:00+00:00,163.42,164.53,161.7,162.15,2017810,163.42,164.53,161.7,162.15,2017810,0.0,1.0
VRTX,2017-07-27 00:00:00+00:00,156.19,163.32,153.5,160.88,3778721,156.19,163.32,153.5,160.88,3778721,0.0,1.0
VRTX,2017-07-28 00:00:00+00:00,154.15,157.2,153.58,155.3,1847822,154.15,157.2,153.58,155.3,1847822,0.0,1.0
VRTX,2017-07-31 00:00:00+00:00,151.82,154.49,151.54,152.99,2931662,151.82,154.49,151.54,152.99,2931662,0.0,1.0
VRTX,2017-08-01 00:00:00+00:00,153.2,154.07,150.64,153.03,1600442,153.2,154.07,150.64,153.03,1600442,0.0,1.0
VRTX,2017-08-02 00:00:00+00:00,157.55,157.91,151.47,151.8,1724165,157.55,157.91,151.47,151.8,1724165,0.0,1.0
VRTX,2017-08-03 00:00:00+00:00,154.03,157.27,152.26,155.72,1401978,154.03,157.27,152.26,155.72,1401978,0.0,1.0
VRTX,2017-08-04 00:00:00+00:00,154.54,155.17,153.01,154.68,738387,154.54,155.17,153.01,154.68,738387,0.0,1.0
VRTX,2017-08-07 00:00:00+00:00,156.47,156.63,152.6,152.6,922391,156.47,156.63,152.6,152.6,922391,0.0,1.0
VRTX,2017-08-08 00:00:00+00:00,153.26,156.55,152.9,156.12,883154,153.26,156.55,152.9,156.12,883154,0.0,1.0
VRTX,2017-08-09 00:00:00+00:00,152.58,155.09,152.19,153.02,1016560,152.58,155.09,152.19,153.02,1016560,0.0,1.0
VRTX,2017-08-10 00:00:00+00:00,148.54,152.04,148.5,152.01,1298726,148.54,152.04,148.5,152.01,1298726,0.0,1.0
VRTX,2017-08-11 00:00:00+00:00,153.78,154.08,149.02,149.35,1536503,153.78,154.08,149.02,149.35,1536503,0.0,1.0
VRTX,2017-08-14 00:00:00+00:00,154.49,155.87,153.54,154.52,1073018,154.49,155.87,153.54,154.52,1073018,0.0,1.0
VRTX,2017-08-15 00:00:00+00:00,152.72,155.28,152.55,154.45,724087,152.72,155.28,152.55,154.45,724087,0.0,1.0
VRTX,2017-08-16 00:00:00+00:00,151.37,153.26,150.31,152.79,904107,151.37,153.26,150.31,152.79,904107,0.0,1.0
VRTX,2017-08-17 00:00:00+00:00,148.54,152.41,148.52,150.93,991021,148.54,152.41,148.52,150.93,991021,0.0,1.0
VRTX,2017-08-18 00:00:00+00:00,148.13,150.11,147.18,147.65,881750,148.13,150.11,147.18,147.65,881750,0.0,1.0
VRTX,2017-08-21 00:00:00+00:00,149.01,150.26,147.42,148.0,1040808,149.01,150.26,147.42,148.0,1040808,0.0,1.0
VRTX,2017-08-22 00:00:00+00:00,155.48,155.92,149.19,149.19,1639343,155.48,155.92,149.19,149.19,1639343,0.0,1.0
