symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WBA,2017-05-30 00:00:00+00:00,80.16,81.11,80.13,81.05,4062321,67.7683285783,68.5714711949,67.7429661799,68.5207463981,4062321,0.0,1.0
WBA,2017-05-31 00:00:00+00:00,81.02,81.03,80.3065,80.37,4196944,68.4953839997,68.5038381325,67.8921816239,67.9458653672,4196944,0.0,1.0
WBA,2017-06-01 00:00:00+00:00,82.18,82.21,81.01,81.29,3665567,69.4760634052,69.5014258037,68.4869298669,68.7236455854,3665567,0.0,1.0
WBA,2017-06-02 00:00:00+00:00,83.1,83.13,82.27,82.3,3937442,70.2538436234,70.2792060219,69.5521506005,69.5775129989,3937442,0.0,1.0
WBA,2017-06-05 00:00:00+00:00,83.38,83.5,82.72,83.25,2761892,70.490559342,70.5920089357,69.9325865768,70.3806556155,2761892,0.0,1.0
WBA,2017-06-06 00:00:00+00:00,81.45,83.35,81.075,82.75,6644067,68.8589117103,70.4651969436,68.5418817301,69.9579489752,6644067,0.0,1.0
WBA,2017-06-07 00:00:00+00:00,81.46,81.69,80.75,81.69,6066780,68.8673658432,69.0618108977,68.2671224139,69.0618108977,6066780,0.0,1.0
WBA,2017-06-08 00:00:00+00:00,81.47,82.04,81.38,81.51,2993112,68.875819976,69.3577055459,68.7997327807,68.9096365072,2993112,0.0,1.0
WBA,2017-06-09 00:00:00+00:00,80.99,81.6223,80.555,81.54,4115904,68.4700216012,69.0045764186,68.1022668241,68.9349989056,4115904,0.0,1.0
WBA,2017-06-12 00:00:00+00:00,81.81,82.59,81.03,81.04,4610405,69.1632604914,69.8226828503,68.5038381325,68.5122922653,4610405,0.0,1.0
WBA,2017-06-13 00:00:00+00:00,81.8,81.89,80.96,81.32,2959840,69.1548063586,69.2308935538,68.4446592028,68.7490079839,2959840,0.0,1.0
WBA,2017-06-14 00:00:00+00:00,82.88,83.06,81.7,82.02,4346114,70.0678527017,70.2200270922,69.0702650305,69.3407972803,4346114,0.0,1.0
WBA,2017-06-15 00:00:00+00:00,82.56,82.86,81.235,82.45,5400054,69.7973204519,70.0509444361,68.677147855,69.704324991,5400054,0.0,1.0
WBA,2017-06-16 00:00:00+00:00,78.44,81.47,77.35,81.19,14827100,66.3142177355,68.875819976,65.3927172596,68.6391042574,14827100,0.0,1.0
WBA,2017-06-19 00:00:00+00:00,79.81,79.83,78.06,78.96,7879530,67.4724339301,67.4893421957,65.9929606889,66.7538326415,7879530,0.0,1.0
WBA,2017-06-20 00:00:00+00:00,78.3,79.83,78.13,79.81,4937572,66.1958598762,67.4893421957,66.0521396185,67.4724339301,4937572,0.0,1.0
WBA,2017-06-21 00:00:00+00:00,78.12,78.64,77.721,78.3,4768189,66.0436854857,66.4833003917,65.7063655867,66.1958598762,4768189,0.0,1.0
WBA,2017-06-22 00:00:00+00:00,76.37,78.11,76.32,78.11,7832056,64.5642122446,66.0352313529,64.5219415805,66.0352313529,7832056,0.0,1.0
WBA,2017-06-23 00:00:00+00:00,76.34,76.51,75.18,76.37,8787507,64.5388498461,64.6825701038,63.5581704406,64.5642122446,8787507,0.0,1.0
WBA,2017-06-26 00:00:00+00:00,77.53,77.92,76.39,76.49,6568729,65.5448916501,65.8746028296,64.5811205102,64.6656618382,6568729,0.0,1.0
WBA,2017-06-27 00:00:00+00:00,77.26,78.13,77.0901,77.47,6511025,65.3166300643,66.0521396185,65.172994348,65.4941668533,6511025,0.0,1.0
WBA,2017-06-28 00:00:00+00:00,77.09,78.24,76.83,77.49,6488417,65.1729098066,66.1451350794,64.9531023537,65.5110751189,6488417,0.0,1.0
WBA,2017-06-29 00:00:00+00:00,78.37,81.55,76.34,81.55,14803291,66.2550388059,68.9434530384,64.5388498461,68.9434530384,14803291,0.0,1.0
WBA,2017-06-30 00:00:00+00:00,78.31,79.5864,77.14,79.5,6873486,66.204314009,67.2833995205,65.2151804707,67.210355813,6873486,0.0,1.0
WBA,2017-07-03 00:00:00+00:00,78.13,78.8,78.01,78.52,2419188,66.0521396185,66.6185665166,65.9506900248,66.381850798,2419188,0.0,1.0
WBA,2017-07-05 00:00:00+00:00,78.64,78.96,78.13,78.13,6306231,66.4833003917,66.7538326415,66.0521396185,66.0521396185,6306231,0.0,1.0
WBA,2017-07-06 00:00:00+00:00,77.72,78.47,77.63,78.45,5818117,65.7055201735,66.339580134,65.6294329782,66.3226718683,5818117,0.0,1.0
WBA,2017-07-07 00:00:00+00:00,77.47,78.135,76.92,77.73,5868547,65.4941668533,66.0563666849,65.0291895489,65.7139743063,5868547,0.0,1.0
WBA,2017-07-10 00:00:00+00:00,77.16,77.59,76.85,77.48,4752803,65.2320887363,65.595616447,64.9700106193,65.5026209861,4752803,0.0,1.0
WBA,2017-07-11 00:00:00+00:00,77.29,77.52,76.79,76.97,4728948,65.3419924628,65.5364375173,64.9192858224,65.071460213,4728948,0.0,1.0
WBA,2017-07-12 00:00:00+00:00,77.52,77.97,77.45,77.79,4244644,65.5364375173,65.9168734936,65.4772585877,65.7646991031,4244644,0.0,1.0
WBA,2017-07-13 00:00:00+00:00,78.01,78.4784,77.6,77.66,5408172,65.9506900248,66.3466816055,65.6040705798,65.6547953766,5408172,0.0,1.0
WBA,2017-07-14 00:00:00+00:00,78.91,79.07,77.7,78.04,7863958,66.7115619775,66.8468281024,65.6886119078,65.9760524233,7863958,0.0,1.0
