symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WDC,2017-04-28 00:00:00+00:00,89.07,91.0,86.41,90.63,17282018,80.4003216467,82.1424640154,77.9992342371,81.8084781727,17282018,0.0,1.0
WDC,2017-05-01 00:00:00+00:00,87.7,88.43,86.1311,88.0,8323433,79.1636713643,79.8226164053,77.7474811248,79.4344706962,8323433,0.0,1.0
WDC,2017-05-02 00:00:00+00:00,87.29,88.11,86.13,87.8,4808893,78.793578944,79.5337637846,77.7464881939,79.2539378083,4808893,0.0,1.0
WDC,2017-05-03 00:00:00+00:00,89.22,89.33,86.481,87.03,4219809,80.5357213127,80.6350144011,78.0633234123,78.5588861897,4219809,0.0,1.0
WDC,2017-05-04 00:00:00+00:00,89.17,90.3501,88.54,89.35,3310664,80.4905880907,81.555822396,79.9219094937,80.6530676899,3310664,0.0,1.0
WDC,2017-05-05 00:00:00+00:00,90.72,90.74,88.61,88.93,3052601,81.8897179723,81.9077712611,79.9850960045,80.2739486252,3052601,0.0,1.0
WDC,2017-05-08 00:00:00+00:00,89.9,90.65,89.56,90.34,3863473,81.1495331317,81.8265314615,80.8426272222,81.5467054852,3863473,0.0,1.0
WDC,2017-05-09 00:00:00+00:00,88.88,90.51,88.43,88.93,3831044,80.2288154032,81.7001584399,79.8226164053,80.2739486252,3831044,0.0,1.0
WDC,2017-05-10 00:00:00+00:00,89.54,89.795,88.75,88.91,2366784,80.8245739334,81.0547533655,80.111469026,80.2558953364,2366784,0.0,1.0
WDC,2017-05-11 00:00:00+00:00,89.68,89.9,88.59,89.02,1990634,80.950946955,81.1495331317,79.9670427157,80.3551884247,1990634,0.0,1.0
WDC,2017-05-12 00:00:00+00:00,89.65,90.1,89.08,89.75,1971020,80.9238670218,81.3300660197,80.4093482911,81.0141334657,1971020,0.0,1.0
WDC,2017-05-15 00:00:00+00:00,89.02,89.78,88.51,89.54,2986175,80.3551884247,81.0412133989,79.8948295605,80.8245739334,2986175,0.0,1.0
WDC,2017-05-16 00:00:00+00:00,88.96,89.59,88.73,89.01,2193900,80.3010285584,80.8697071554,80.0934157372,80.3461617803,2193900,0.0,1.0
WDC,2017-05-17 00:00:00+00:00,85.22,88.36,85.14,88.26,3941605,76.9250635538,79.7594298945,76.8528503986,79.6691634506,3941605,0.0,1.0
WDC,2017-05-18 00:00:00+00:00,86.11,86.51,84.13,85.73,3352547,77.7284349051,78.089500681,75.9411593145,77.385422418,3352547,0.0,1.0
WDC,2017-05-19 00:00:00+00:00,86.66,87.48,86.41,86.55,3006649,78.224900347,78.9650851876,77.9992342371,78.1256072586,3006649,0.0,1.0
WDC,2017-05-22 00:00:00+00:00,87.98,88.79,86.79,88.62,3214160,79.4164174074,80.1475756036,78.3422467241,79.9941226489,3214160,0.0,1.0
WDC,2017-05-23 00:00:00+00:00,88.03,88.316,86.32,88.1,2566908,79.4615506294,79.7197126592,77.9179944375,79.5247371402,2566908,0.0,1.0
WDC,2017-05-24 00:00:00+00:00,89.7,90.81,88.55,88.68,6102816,80.9690002438,81.9709577719,79.9309361381,80.0482825152,6102816,0.0,1.0
WDC,2017-05-25 00:00:00+00:00,89.27,90.37,88.55,90.3,3229511,80.5808545347,81.5737854184,79.9309361381,81.5105989076,3229511,0.0,1.0
WDC,2017-05-26 00:00:00+00:00,90.01,90.075,88.3,89.02,2909735,81.2488262201,81.3074994087,79.7052700281,80.3551884247,2909735,0.0,1.0
WDC,2017-05-30 00:00:00+00:00,91.29,92.2748,89.835,90.08,3313317,82.4042367029,83.2931806432,81.0908599431,81.3120127309,3313317,0.0,1.0
WDC,2017-05-31 00:00:00+00:00,90.06,91.85,89.68,91.81,4741595,81.2939594421,82.9097287892,80.950946955,82.8736222116,4741595,0.0,1.0
WDC,2017-06-01 00:00:00+00:00,91.59,91.77,89.75,89.94,3238299,82.6750360349,82.837515634,81.0141334657,81.1856397093,3238299,0.0,1.0
WDC,2017-06-02 00:00:00+00:00,91.52,92.5,90.61,92.3,3183338,82.6118495241,83.496460675,81.7904248839,83.3159277871,3183338,0.0,1.0
WDC,2017-06-05 00:00:00+00:00,89.42,91.5,89.23,91.44,4124051,80.7162542006,82.5937962353,80.5447479571,82.5396363689,4124051,0.0,1.0
WDC,2017-06-06 00:00:00+00:00,89.94,90.18,89.18,89.25,3604381,81.1856397093,81.4022791748,80.4996147351,80.5628012459,3604381,0.0,1.0
WDC,2017-06-07 00:00:00+00:00,89.93,91.29,89.7,89.97,2865848,81.1766130649,82.4042367029,80.9690002438,81.2127196425,2865848,0.0,1.0
WDC,2017-06-08 00:00:00+00:00,91.02,91.13,89.41,90.06,2616747,82.1605173042,82.2598103926,80.7072275562,81.2939594421,2616747,0.0,1.0
WDC,2017-06-09 00:00:00+00:00,86.01,91.94,84.19,91.1,5977686,77.6381684612,82.9909685888,75.9953191809,82.2327304594,5977686,0.0,1.0
WDC,2017-06-12 00:00:00+00:00,86.64,86.72,82.14,84.82,5837698,78.2068470582,78.2790602134,74.1448570794,76.5639977779,5837698,0.0,1.0
WDC,2017-06-13 00:00:00+00:00,90.05,90.43,87.69,88.54,4978570,81.2849327977,81.6279452848,79.1546447199,79.9219094937,4978570,0.0,1.0
WDC,2017-06-14 00:00:00+00:00,87.8,90.47,86.93,90.25,4209275,79.2539378083,81.6640518624,78.4686197457,81.4654656856,4209275,0.0,1.0
WDC,2017-06-15 00:00:00+00:00,87.31,87.72,85.6001,86.32,2690144,78.8116322328,79.1817246531,77.2681663073,77.9179944375,2690144,0.0,1.0
WDC,2017-06-16 00:00:00+00:00,87.12,88.48,86.79,87.76,4074893,78.6401259893,79.8677496273,78.3422467241,79.2178312307,4074893,0.0,1.0
WDC,2017-06-19 00:00:00+00:00,88.64,88.92,87.66,88.14,2416265,80.0121759376,80.2649219808,79.1275647867,79.5608437178,2416265,0.0,1.0
WDC,2017-06-20 00:00:00+00:00,88.23,89.59,88.17,88.69,4412450,79.6420835174,80.8697071554,79.587923651,80.0573091596,4412450,0.0,1.0
WDC,2017-06-21 00:00:00+00:00,91.03,91.85,87.8725,88.06,4314641,82.1695439486,82.9097287892,79.3193809802,79.4886305626,4314641,0.0,1.0
WDC,2017-06-22 00:00:00+00:00,90.25,91.3,89.76,91.27,2252036,81.4654656856,82.4132633473,81.0231601101,82.3861834141,2252036,0.0,1.0
WDC,2017-06-23 00:00:00+00:00,93.34,95.0,90.61,90.93,7191528,84.2546988044,85.7531217743,81.7904248839,82.0792775046,7191528,0.0,1.0
WDC,2017-06-26 00:00:00+00:00,92.66,94.9099,92.54,94.0,3380035,83.6408869854,85.6717917083,83.5325672526,84.8504573346,3380035,0.0,1.0
WDC,2017-06-27 00:00:00+00:00,91.85,92.8999,89.81,91.25,5341011,82.9097287892,83.8574361845,81.0682933321,82.3681301253,5341011,0.0,1.0
WDC,2017-06-28 00:00:00+00:00,93.67,93.7,90.8601,91.43,3662199,85.0039102894,85.0311347722,82.4539744772,82.9711489031,3662199,0.5,1.0
WDC,2017-06-29 00:00:00+00:00,91.65,93.2332,90.8,93.2,5635485,83.1707951107,84.607521819,82.3994347632,84.5773933914,5635485,0.0,1.0
WDC,2017-06-30 00:00:00+00:00,88.6,92.4,88.281,92.32,6577097,80.4029726875,83.851407182,80.1134856865,83.778808561,6577097,0.0,1.0
WDC,2017-07-03 00:00:00+00:00,85.29,89.25,85.26,89.0,4562275,77.3992047462,80.9928364826,77.3719802634,80.7659657922,4562275,0.0,1.0
WDC,2017-07-05 00:00:00+00:00,86.41,86.75,84.46,85.95,5076279,78.4155854393,78.7241295783,76.645994054,77.998143369,5076279,0.0,1.0
WDC,2017-07-06 00:00:00+00:00,86.12,86.58,84.74,86.17,4078134,78.1524154384,78.5698575088,76.9000892273,78.1977895765,4078134,0.0,1.0
WDC,2017-07-07 00:00:00+00:00,86.94,88.52,86.08,86.54,3398680,78.896551303,80.3303740665,78.116116128,78.5335581984,3398680,0.0,1.0
WDC,2017-07-10 00:00:00+00:00,89.27,89.5098,86.31,86.87,4775522,81.0109861378,81.2286005041,78.3248371632,78.8330275097,4775522,0.0,1.0
WDC,2017-07-11 00:00:00+00:00,91.75,92.16,89.27,89.38,5098425,83.2615433869,83.6336113192,81.0109861378,81.1108092416,5098425,0.0,1.0
WDC,2017-07-12 00:00:00+00:00,94.13,95.51,92.61,92.9,5507054,85.4213523597,86.6736785709,84.0419785619,84.3051485628,5507054,0.0,1.0
WDC,2017-07-13 00:00:00+00:00,92.8,94.62,92.61,93.51,4120134,84.2144002867,85.866018913,84.0419785619,84.8587130475,4120134,0.0,1.0
WDC,2017-07-14 00:00:00+00:00,94.44,95.49,93.2,93.36,3439748,85.7026720159,86.6555289157,84.5773933914,84.7225906332,3439748,0.0,1.0
WDC,2017-07-17 00:00:00+00:00,94.57,94.94,93.85,94.15,2475424,85.8206447749,86.1564133967,85.1672571865,85.439502015,2475424,0.0,1.0
WDC,2017-07-18 00:00:00+00:00,94.27,94.82,93.6,94.16,2195195,85.5483999464,86.0475154653,84.940386496,85.4485768426,2195195,0.0,1.0
WDC,2017-07-19 00:00:00+00:00,94.48,94.61,93.45,94.42,2740151,85.7389713263,85.8569440854,84.8042640818,85.6845223606,2740151,0.0,1.0
WDC,2017-07-20 00:00:00+00:00,95.01,95.56,94.23,95.0,3070322,86.21993719,86.719052709,85.5121006359,86.2108623624,3070322,0.0,1.0
WDC,2017-07-21 00:00:00+00:00,94.82,95.77,94.5,94.7,2167307,86.0475154653,86.9096240889,85.7571209816,85.9386175339,2167307,0.0,1.0
WDC,2017-07-24 00:00:00+00:00,94.62,95.69,94.48,94.94,2076825,85.866018913,86.837025468,85.7389713263,86.1564133967,2076825,0.0,1.0
WDC,2017-07-25 00:00:00+00:00,93.75,95.05,90.75,91.04,4978768,85.0765089103,86.2562365005,82.3540606252,82.6172306261,4978768,0.0,1.0
WDC,2017-07-26 00:00:00+00:00,92.96,94.4911,92.53,94.26,2360018,84.3595975285,85.749044385,83.969379941,85.5393251188,2360018,0.0,1.0
WDC,2017-07-27 00:00:00+00:00,91.9,94.25,91.22,93.01,4900385,83.3976658011,85.5302502911,82.7805775232,84.4049716666,4900385,0.0,1.0
