symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WFM,2017-04-28 00:00:00+00:00,36.37,37.0,36.26,37.0,2995047,36.2157082253,36.843035588,36.1061748763,36.843035588,2995047,0.0,1.0
WFM,2017-05-01 00:00:00+00:00,36.16,36.67,36.07,36.34,3988315,36.0065991044,36.5144355409,35.9169809097,36.1858354938,3988315,0.0,1.0
WFM,2017-05-02 00:00:00+00:00,36.38,36.49,35.91,36.28,3236381,36.2256658025,36.3351991515,35.7576596748,36.1260900306,3236381,0.0,1.0
WFM,2017-05-03 00:00:00+00:00,36.32,36.62,36.23,36.29,2747750,36.1659203394,36.464647655,36.0763021447,36.1360476078,2747750,0.0,1.0
WFM,2017-05-04 00:00:00+00:00,36.68,36.72,36.17,36.49,5355353,36.5243931181,36.5642234268,36.0165566816,36.3351991515,5355353,0.0,1.0
WFM,2017-05-05 00:00:00+00:00,36.87,36.88,36.41,36.64,4555189,36.7135870846,36.7235446618,36.2555385341,36.4845628093,4555189,0.0,1.0
WFM,2017-05-08 00:00:00+00:00,36.71,36.85,36.49,36.85,4994263,36.5542658496,36.6936719302,36.3351991515,36.6936719302,4994263,0.0,1.0
WFM,2017-05-09 00:00:00+00:00,36.57,36.95,36.44,36.74,5317313,36.414859769,36.7932477021,36.2854112656,36.5841385812,5317313,0.0,1.0
WFM,2017-05-10 00:00:00+00:00,36.25,37.0,36.08,36.41,10365312,36.0962172991,36.843035588,35.9269384869,36.2555385341,10365312,0.0,1.0
WFM,2017-05-11 00:00:00+00:00,37.03,38.29,36.58,37.94,10857978,36.8729083196,38.127563045,36.4248173462,37.7790478435,10857978,0.0,1.0
WFM,2017-05-12 00:00:00+00:00,36.28,37.04,35.97,37.04,6699028,36.1260900306,36.8828658968,35.8174051379,36.8828658968,6699028,0.0,1.0
WFM,2017-05-15 00:00:00+00:00,36.44,36.61,35.92,35.94,4548648,36.2854112656,36.4546900778,35.7676172519,35.7875324063,4548648,0.0,1.0
WFM,2017-05-16 00:00:00+00:00,36.49,36.74,36.2,36.57,4043058,36.3351991515,36.5841385812,36.0464294132,36.414859769,4043058,0.0,1.0
WFM,2017-05-17 00:00:00+00:00,36.04,36.5,36.01,36.31,3401018,35.8871081782,36.3451567287,35.8572354466,36.1559627622,3401018,0.0,1.0
WFM,2017-05-18 00:00:00+00:00,36.15,36.45,35.93,36.18,4107133,35.9966415272,36.2953688428,35.7775748291,36.0265142588,4107133,0.0,1.0
WFM,2017-05-19 00:00:00+00:00,35.99,36.32,35.84,36.23,3357463,35.8373202922,36.1659203394,35.6879566345,36.0763021447,3357463,0.0,1.0
WFM,2017-05-22 00:00:00+00:00,36.22,36.45,35.92,36.08,3425349,36.0663445675,36.2953688428,35.7676172519,35.9269384869,3425349,0.0,1.0
WFM,2017-05-23 00:00:00+00:00,35.33,36.17,35.22,36.17,4745712,35.180120198,36.0165566816,35.0705868489,36.0165566816,4745712,0.0,1.0
WFM,2017-05-24 00:00:00+00:00,35.32,35.55,35.14,35.5,3077754,35.1701626208,35.3991868961,34.9909262314,35.3493990101,3077754,0.0,1.0
WFM,2017-05-25 00:00:00+00:00,35.32,35.61,35.26,35.46,3559218,35.1701626208,35.4589323592,35.1104171577,35.3095687014,3559218,0.0,1.0
WFM,2017-05-26 00:00:00+00:00,35.12,35.55,35.03,35.29,2524704,34.9710110771,35.3991868961,34.8813928824,35.1402898892,2524704,0.0,1.0
WFM,2017-05-30 00:00:00+00:00,34.87,35.04,34.64,35.0,4563091,34.7220716474,34.8913504596,34.4930473721,34.8515201508,4563091,0.0,1.0
WFM,2017-05-31 00:00:00+00:00,34.99,35.22,34.78,34.92,3292367,34.8415625737,35.0705868489,34.6324534527,34.7718595333,3292367,0.0,1.0
WFM,2017-06-01 00:00:00+00:00,35.21,35.31,34.78,35.06,3808356,35.0606292717,35.1602050436,34.6324534527,34.911265614,3808356,0.0,1.0
WFM,2017-06-02 00:00:00+00:00,35.08,35.38,34.95,35.12,2403919,34.9311807683,35.2299080839,34.8017322649,34.9710110771,2403919,0.0,1.0
