symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
XLNX,2017-05-30 00:00:00+00:00,65.72,66.02,65.21,65.75,3170368,61.7519034186,62.0337897702,61.2726966209,61.7800920537,3170368,0.0,1.0
XLNX,2017-05-31 00:00:00+00:00,66.71,66.72,65.89,66.43,5219973,62.6821283788,62.6915245905,61.9116390178,62.4190344506,5219973,0.0,1.0
XLNX,2017-06-01 00:00:00+00:00,66.65,67.0,66.04,66.41,5584159,62.6257511085,62.9546185186,62.0525821936,62.4002420272,5584159,0.0,1.0
XLNX,2017-06-02 00:00:00+00:00,66.88,67.09,66.33,67.06,3294508,62.841863978,63.0391844241,62.3250723335,63.010995789,3294508,0.0,1.0
XLNX,2017-06-05 00:00:00+00:00,67.15,67.5,66.67,66.8,3237243,63.0955616944,63.4244291046,62.6445435319,62.7666942843,3237243,0.0,1.0
XLNX,2017-06-06 00:00:00+00:00,67.61,67.715,66.9,67.23,3671082,63.5277874335,63.6264476566,62.8606564014,63.1707313882,3671082,0.0,1.0
XLNX,2017-06-07 00:00:00+00:00,67.87,67.94,67.42,67.61,2783006,63.7720889382,63.8378624202,63.3492594108,63.5277874335,2783006,0.0,1.0
XLNX,2017-06-08 00:00:00+00:00,68.07,68.1,67.45,68.0,2660175,63.9600131726,63.9882018078,63.377448046,63.8942396906,2660175,0.0,1.0
XLNX,2017-06-09 00:00:00+00:00,65.4,68.55,64.62,68.35,5169013,61.4512246436,64.4110313351,60.7183201295,64.2231071007,5169013,0.0,1.0
XLNX,2017-06-12 00:00:00+00:00,64.23,65.11,63.21,64.82,5484037,60.3518678724,61.1787345037,59.3934542771,60.9062443639,5484037,0.0,1.0
XLNX,2017-06-13 00:00:00+00:00,64.78,65.11,64.01,64.75,2193321,60.868659517,61.1787345037,60.1451512146,60.8404708818,2193321,0.0,1.0
XLNX,2017-06-14 00:00:00+00:00,64.88,65.39,64.41,65.17,2758027,60.9626216342,61.4418284318,60.5209996834,61.235111774,2758027,0.0,1.0
XLNX,2017-06-15 00:00:00+00:00,64.86,64.98,63.9042,63.99,2029931,60.9438292107,61.0565837514,60.0457392946,60.1263587912,2029931,0.0,1.0
XLNX,2017-06-16 00:00:00+00:00,64.74,64.95,64.12,64.8,3492240,60.8310746701,61.0283951162,60.2485095435,60.8874519404,3492240,0.0,1.0
XLNX,2017-06-19 00:00:00+00:00,65.9,65.98,65.07,65.2,2084905,61.9210352295,61.9962049233,61.1411496568,61.2633004092,2084905,0.0,1.0
XLNX,2017-06-20 00:00:00+00:00,65.26,66.15,65.0506,65.87,2578375,61.3196776795,62.1559405225,61.1229210061,61.8928465944,2578375,0.0,1.0
XLNX,2017-06-21 00:00:00+00:00,66.12,66.37,65.39,66.08,2979103,62.1277518874,62.3626571803,61.4418284318,62.0901670405,2979103,0.0,1.0
XLNX,2017-06-22 00:00:00+00:00,66.58,66.79,65.85,66.31,2065517,62.5599776264,62.7572980725,61.8740541709,62.30627991,2065517,0.0,1.0
XLNX,2017-06-23 00:00:00+00:00,67.53,67.6,66.5,66.56,2917858,63.4526177398,63.5183912218,62.4848079327,62.541185203,2917858,0.0,1.0
XLNX,2017-06-26 00:00:00+00:00,67.36,67.99,67.01,67.6,2223048,63.2928821405,63.8848434788,62.9640147304,63.5183912218,2223048,0.0,1.0
XLNX,2017-06-27 00:00:00+00:00,65.1,67.26,65.0801,67.05,3134510,61.169338292,63.1989200233,61.1506398307,63.0015995772,3134510,0.0,1.0
XLNX,2017-06-28 00:00:00+00:00,66.01,66.09,64.74,65.49,2207371,62.0243935584,62.0995632522,60.8310746701,61.535790549,2207371,0.0,1.0
XLNX,2017-06-29 00:00:00+00:00,64.18,65.5716,63.575,65.45,1985831,60.3048868138,61.6124636367,59.7364160048,61.4982057022,1985831,0.0,1.0
