symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
XRAY,2017-04-28 00:00:00+00:00,63.24,63.595,62.995,63.22,1111511,60.8620607254,61.2037120783,60.626273172,60.8428127619,1111511,0.0,1.0
XRAY,2017-05-01 00:00:00+00:00,63.02,63.525,62.94,63.45,746959,60.6503331265,61.1363442059,60.5733412723,61.0641643426,746959,0.0,1.0
XRAY,2017-05-02 00:00:00+00:00,63.25,63.34,62.93,63.24,907721,60.8716847072,60.9583005432,60.5637172905,60.8620607254,907721,0.0,1.0
XRAY,2017-05-03 00:00:00+00:00,63.81,64.84,63.1,63.24,1601234,61.4106276864,62.4018978089,60.7273249806,60.8620607254,1601234,0.0,1.0
XRAY,2017-05-04 00:00:00+00:00,65.32,65.5,63.77,64.02,1706952,62.863848934,63.0370806059,61.3721317593,61.6127313036,1706952,0.0,1.0
XRAY,2017-05-05 00:00:00+00:00,65.59,65.6,64.85,65.2,974810,63.1236964418,63.1333204236,62.4115217907,62.7483611527,974810,0.0,1.0
XRAY,2017-05-08 00:00:00+00:00,65.43,65.68,64.61,65.19,2227308,62.9697127335,63.2103122778,62.1805462282,62.738737171,2227308,0.0,1.0
XRAY,2017-05-09 00:00:00+00:00,63.25,65.39,62.92,64.41,2564781,60.8716847072,62.9312168064,60.5540933087,61.9880665927,2564781,0.0,1.0
XRAY,2017-05-10 00:00:00+00:00,62.52,63.31,62.3,63.18,1564416,60.1691340379,60.9294285978,59.9574064389,60.8043168348,1564416,0.0,1.0
XRAY,2017-05-11 00:00:00+00:00,62.7,62.78,62.1,62.32,1210953,60.3423657098,60.4193575639,59.7649268034,59.9766544024,1210953,0.0,1.0
XRAY,2017-05-12 00:00:00+00:00,61.65,62.7,61.6,62.7,1468221,59.3318476237,60.3423657098,59.2837277148,60.3423657098,1468221,0.0,1.0
XRAY,2017-05-15 00:00:00+00:00,62.05,62.18,61.48,61.55,1436876,59.7168068946,59.8419186576,59.1682399336,59.235607806,1436876,0.0,1.0
XRAY,2017-05-16 00:00:00+00:00,62.16,62.32,61.61,62.19,927117,59.8226706941,59.9766544024,59.2933516966,59.8515426394,927117,0.0,1.0
XRAY,2017-05-17 00:00:00+00:00,61.35,61.96,61.305,61.96,1191409,59.0431281705,59.6301910586,58.9998202526,59.6301910586,1191409,0.0,1.0
XRAY,2017-05-18 00:00:00+00:00,61.66,62.05,61.1475,61.61,989760,59.3414716055,59.7168068946,58.8482425397,59.2933516966,989760,0.0,1.0
XRAY,2017-05-19 00:00:00+00:00,61.62,62.04,61.13,61.52,1451483,59.3029756784,59.7071829128,58.8314005716,59.2067358607,1451483,0.0,1.0
XRAY,2017-05-22 00:00:00+00:00,62.59,62.755,61.52,61.54,1341497,60.2365019103,60.3952976095,59.2067358607,59.2259838242,1341497,0.0,1.0
XRAY,2017-05-23 00:00:00+00:00,63.15,63.405,61.02,61.45,2105091,60.7754448895,61.0208564247,58.7255367721,59.1393679883,2105091,0.0,1.0
