symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ADI,2017-04-06 00:00:00+00:00,80.32,80.66,79.59,80.11,3970751,72.7628015027,73.0708113696,72.1014862002,72.5725601143,3970751,0.0,1.0
ADI,2017-04-07 00:00:00+00:00,80.01,80.59,79.65,80.3,3308798,72.4819689769,73.0073975735,72.1558408826,72.7446832752,3308798,0.0,1.0
ADI,2017-04-10 00:00:00+00:00,79.33,80.12,79.19,80.0,2906963,71.8659492431,72.581619228,71.7391216509,72.4729098632,2906963,0.0,1.0
ADI,2017-04-11 00:00:00+00:00,78.08,78.95,76.94,78.94,6040225,70.7335600265,71.5217029213,69.7008210609,71.5126438075,6040225,0.0,1.0
ADI,2017-04-12 00:00:00+00:00,76.87,78.45,76.63,78.27,2904147,69.6374072648,71.0687472346,69.4199885352,70.9056831874,2904147,0.0,1.0
ADI,2017-04-13 00:00:00+00:00,76.51,77.85,76.47,76.87,2223163,69.3112791704,70.5252004106,69.2750427155,69.6374072648,2223163,0.0,1.0
ADI,2017-04-17 00:00:00+00:00,76.39,77.2,76.15,76.78,2462244,69.2025698056,69.936358018,68.985151076,69.5558752412,2462244,0.0,1.0
ADI,2017-04-18 00:00:00+00:00,77.41,77.53,75.82,75.83,3342580,70.1265994064,70.2353087712,68.6862003229,68.6952594366,3342580,0.0,1.0
ADI,2017-04-19 00:00:00+00:00,76.99,78.2,76.93,77.69,2625531,69.7461166296,70.8422693913,69.6917619472,70.3802545909,2625531,0.0,1.0
ADI,2017-04-20 00:00:00+00:00,78.66,78.89,77.2,77.52,2898859,71.258988623,71.4673482389,69.936358018,70.2262496575,2898859,0.0,1.0
ADI,2017-04-21 00:00:00+00:00,77.63,78.18,76.41,77.2,4476578,70.3258999085,70.8241511638,69.2206880331,69.936358018,4476578,0.0,1.0
ADI,2017-04-24 00:00:00+00:00,79.22,80.07,78.99,79.47,2993599,71.766298992,72.5363236593,71.5579393762,71.9927768354,2993599,0.0,1.0
ADI,2017-04-25 00:00:00+00:00,79.35,79.73,78.95,79.4,2562784,71.8840674706,72.2283137924,71.5217029213,71.9293630392,2562784,0.0,1.0
ADI,2017-04-26 00:00:00+00:00,77.98,79.46,77.58,79.41,2967672,70.6429688892,71.9837177216,70.2806043399,71.938422153,2967672,0.0,1.0
ADI,2017-04-27 00:00:00+00:00,77.85,78.88,77.56,78.65,2329986,70.5252004106,71.4582891251,70.2624861124,71.2499295093,2329986,0.0,1.0
ADI,2017-04-28 00:00:00+00:00,76.2,77.98,75.96,77.86,4304690,69.0304466447,70.6429688892,68.8130279151,70.5342595244,4304690,0.0,1.0
ADI,2017-05-01 00:00:00+00:00,76.22,76.415,74.65,75.05,4565996,69.0485648722,69.22521759,67.6262840161,67.9886485654,4565996,0.0,1.0
ADI,2017-05-02 00:00:00+00:00,75.51,76.49,75.3,76.48,5505616,68.4053677971,69.293160943,68.2151264088,69.2841018292,5505616,0.0,1.0
ADI,2017-05-03 00:00:00+00:00,75.6,75.86,75.16,75.31,3121804,68.4868998207,68.7224367778,68.0882988165,68.2241855225,3121804,0.0,1.0
ADI,2017-05-04 00:00:00+00:00,75.66,76.17,75.21,75.74,2293708,68.5412545031,69.0032693035,68.1335943852,68.613727413,2293708,0.0,1.0
