symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMAT,2017-04-06 00:00:00+00:00,38.58,38.65,37.85,38.35,7158874,36.2379030607,36.3036535328,35.5522195657,36.0218657952,7158874,0.0,1.0
AMAT,2017-04-07 00:00:00+00:00,38.93,39.03,38.45,38.45,6314603,36.5666554213,36.6605846671,36.115795041,36.115795041,6314603,0.0,1.0
AMAT,2017-04-10 00:00:00+00:00,38.86,39.2,38.745,38.82,7339629,36.5009049491,36.8202643851,36.3928863164,36.4633332508,7339629,0.0,1.0
AMAT,2017-04-11 00:00:00+00:00,38.2,38.69,37.6,38.69,10549694,35.8809719263,36.3412252311,35.317396451,36.3412252311,10549694,0.0,1.0
AMAT,2017-04-12 00:00:00+00:00,37.77,38.37,37.63,38.35,6802507,35.477076169,36.0406516443,35.3455752248,36.0218657952,6802507,0.0,1.0
AMAT,2017-04-13 00:00:00+00:00,37.52,38.25,37.4101,37.67,5753986,35.2422530543,35.9279365493,35.1390248131,35.3831469232,5753986,0.0,1.0
AMAT,2017-04-17 00:00:00+00:00,38.02,38.03,37.57,37.64,5242480,35.7118992837,35.7212922083,35.2892176773,35.3549681494,5242480,0.0,1.0
AMAT,2017-04-18 00:00:00+00:00,38.05,38.11,37.6,37.79,6047326,35.7400780575,35.796435605,35.317396451,35.4958620182,6047326,0.0,1.0
AMAT,2017-04-19 00:00:00+00:00,39.25,39.655,39.15,39.2,13394449,36.8672290081,37.2476424539,36.7732997622,36.8202643851,13394449,0.0,1.0
AMAT,2017-04-20 00:00:00+00:00,39.89,39.97,39.15,39.54,9402816,37.4683761817,37.5435195784,36.7732997622,37.1396238211,9402816,0.0,1.0
AMAT,2017-04-21 00:00:00+00:00,39.79,40.085,39.47,39.9,8762041,37.3744469358,37.6515382112,37.073873349,37.4777691063,8762041,0.0,1.0
AMAT,2017-04-24 00:00:00+00:00,40.44,40.61,40.09,40.37,6925333,37.9849870341,38.1446667521,37.6562346735,37.9192365619,6925333,0.0,1.0
AMAT,2017-04-25 00:00:00+00:00,40.79,40.87,40.28,40.62,7191425,38.3137393946,38.3888827913,37.8347002406,38.1540596766,7191425,0.0,1.0
AMAT,2017-04-26 00:00:00+00:00,40.71,40.92,40.425,40.78,5325495,38.2385959979,38.4358474143,37.9708976472,38.30434647,5325495,0.0,1.0
AMAT,2017-04-27 00:00:00+00:00,41.33,41.82,40.94,40.96,8125454,38.8209573224,39.2812106272,38.4546332635,38.4734191126,8125454,0.0,1.0
AMAT,2017-04-28 00:00:00+00:00,40.61,41.33,40.58,41.1,8982746,38.1446667521,38.8209573224,38.1164879783,38.6049200569,8982746,0.0,1.0
AMAT,2017-05-01 00:00:00+00:00,41.7,41.71,40.85,40.98,6661399,39.1684955321,39.1778884567,38.3700969422,38.4922049618,6661399,0.0,1.0
