symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMGN,2017-04-06 00:00:00+00:00,162.25,163.45,161.61,162.2,3024172,140.2937908437,141.3314028561,139.7403977704,140.2505570099,3024172,0.0,1.0
AMGN,2017-04-07 00:00:00+00:00,163.38,164.24,162.25,162.91,2202242,141.2708754887,142.014497431,140.2937908437,140.8644774505,2202242,0.0,1.0
AMGN,2017-04-10 00:00:00+00:00,162.79,164.24,162.62,163.85,1772029,140.7607162493,142.014497431,140.6137212142,141.6772735269,1772029,0.0,1.0
AMGN,2017-04-11 00:00:00+00:00,163.11,163.4,161.56,162.89,1990300,141.0374127859,141.2881690223,139.6971639366,140.847183917,1990300,0.0,1.0
AMGN,2017-04-12 00:00:00+00:00,163.05,164.1,162.16,164.08,2248673,140.9855321853,141.8934426962,140.2159699428,141.8761491626,2248673,0.0,1.0
AMGN,2017-04-13 00:00:00+00:00,161.61,163.63,161.33,163.28,2568793,139.7403977704,141.487044658,139.4982883009,141.184407821,2568793,0.0,1.0
AMGN,2017-04-17 00:00:00+00:00,162.11,162.52,161.26,161.34,2364877,140.1727361089,140.5272535465,139.4377609335,139.5069350676,2364877,0.0,1.0
AMGN,2017-04-18 00:00:00+00:00,161.25,161.93,160.28,161.93,2532118,139.4291141667,140.0170943071,138.59037779,140.0170943071,2532118,0.0,1.0
AMGN,2017-04-19 00:00:00+00:00,161.26,162.64,161.13,162.1,2344063,139.4377609335,140.6310147477,139.3253529655,140.1640893422,2344063,0.0,1.0
AMGN,2017-04-20 00:00:00+00:00,162.04,162.77,161.01,161.05,2070152,140.1122087415,140.7434227158,139.2215917642,139.2561788313,2070152,0.0,1.0
AMGN,2017-04-21 00:00:00+00:00,160.41,162.73,160.25,162.15,2906923,138.702785758,140.7088356487,138.5644374897,140.207323176,2906923,0.0,1.0
AMGN,2017-04-24 00:00:00+00:00,163.14,163.6,161.9,162.5,3491407,141.0633530862,141.4611043577,139.9911540068,140.509960013,3491407,0.0,1.0
AMGN,2017-04-25 00:00:00+00:00,164.7,165.3,163.4,163.52,3495899,142.4122487024,142.9310547086,141.2881690223,141.3919302235,3495899,0.0,1.0
AMGN,2017-04-26 00:00:00+00:00,164.61,165.61,164.3397,165.61,3669887,142.3344278014,143.1991044784,142.1007056956,143.1991044784,3669887,0.0,1.0
AMGN,2017-04-27 00:00:00+00:00,162.72,163.4327,160.0,160.13,5624097,140.7001888819,141.3164439496,138.3482683205,138.4606762885,5624097,0.0,1.0
