symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CELG,2017-04-06 00:00:00+00:00,124.3,124.74,123.65,124.1,2883292,124.3,124.74,123.65,124.1,2883292,0.0,1.0
CELG,2017-04-07 00:00:00+00:00,125.58,126.32,124.0,124.46,2675036,125.58,126.32,124.0,124.46,2675036,0.0,1.0
CELG,2017-04-10 00:00:00+00:00,125.92,126.4,125.07,125.81,3279121,125.92,126.4,125.07,125.81,3279121,0.0,1.0
CELG,2017-04-11 00:00:00+00:00,125.06,126.45,124.11,125.69,3095371,125.06,126.45,124.11,125.69,3095371,0.0,1.0
CELG,2017-04-12 00:00:00+00:00,125.15,125.54,124.49,125.18,3249154,125.15,125.54,124.49,125.18,3249154,0.0,1.0
CELG,2017-04-13 00:00:00+00:00,124.45,125.82,124.42,125.25,2623661,124.45,125.82,124.42,125.25,2623661,0.0,1.0
CELG,2017-04-17 00:00:00+00:00,125.07,125.16,124.19,124.5,1883724,125.07,125.16,124.19,124.5,1883724,0.0,1.0
CELG,2017-04-18 00:00:00+00:00,123.01,125.0,122.25,124.48,3064526,123.01,125.0,122.25,124.48,3064526,0.0,1.0
CELG,2017-04-19 00:00:00+00:00,122.92,123.7,122.76,123.53,3265194,122.92,123.7,122.76,123.53,3265194,0.0,1.0
CELG,2017-04-20 00:00:00+00:00,123.27,123.8,122.33,123.35,2972267,123.27,123.8,122.33,123.35,2972267,0.0,1.0
CELG,2017-04-21 00:00:00+00:00,122.26,123.78,121.71,123.55,2913961,122.26,123.78,121.71,123.55,2913961,0.0,1.0
CELG,2017-04-24 00:00:00+00:00,123.15,123.9,122.98,123.63,3265737,123.15,123.9,122.98,123.63,3265737,0.0,1.0
CELG,2017-04-25 00:00:00+00:00,125.52,126.22,123.75,124.0,3904182,125.52,126.22,123.75,124.0,3904182,0.0,1.0
CELG,2017-04-26 00:00:00+00:00,125.2,126.53,125.06,126.26,3567542,125.2,126.53,125.06,126.26,3567542,0.0,1.0
CELG,2017-04-27 00:00:00+00:00,123.97,124.98,122.12,122.48,4597432,123.97,124.98,122.12,122.48,4597432,0.0,1.0
CELG,2017-04-28 00:00:00+00:00,124.05,124.33,123.2,124.21,3412026,124.05,124.33,123.2,124.21,3412026,0.0,1.0
CELG,2017-05-01 00:00:00+00:00,124.06,124.7,123.78,124.09,3314087,124.06,124.7,123.78,124.09,3314087,0.0,1.0
CELG,2017-05-02 00:00:00+00:00,123.82,124.37,123.09,123.96,3183660,123.82,124.37,123.09,123.96,3183660,0.0,1.0
CELG,2017-05-03 00:00:00+00:00,123.43,124.13,122.95,123.87,2405900,123.43,124.13,122.95,123.87,2405900,0.0,1.0
CELG,2017-05-04 00:00:00+00:00,124.46,124.73,123.63,123.69,2391308,124.46,124.73,123.63,123.69,2391308,0.0,1.0
CELG,2017-05-05 00:00:00+00:00,122.41,124.15,121.7,123.97,3898923,122.41,124.15,121.7,123.97,3898923,0.0,1.0
CELG,2017-05-08 00:00:00+00:00,118.36,122.52,117.31,122.09,6126682,118.36,122.52,117.31,122.09,6126682,0.0,1.0
CELG,2017-05-09 00:00:00+00:00,120.1,120.21,118.59,118.81,4294441,120.1,120.21,118.59,118.81,4294441,0.0,1.0
CELG,2017-05-10 00:00:00+00:00,119.68,120.47,118.92,120.04,3201417,119.68,120.47,118.92,120.04,3201417,0.0,1.0
CELG,2017-05-11 00:00:00+00:00,119.52,119.58,118.26,119.07,2573716,119.52,119.58,118.26,119.07,2573716,0.0,1.0
CELG,2017-05-12 00:00:00+00:00,119.32,120.2,118.9,119.85,2615522,119.32,120.2,118.9,119.85,2615522,0.0,1.0
CELG,2017-05-15 00:00:00+00:00,119.04,119.54,118.68,119.33,2942800,119.04,119.54,118.68,119.33,2942800,0.0,1.0
CELG,2017-05-16 00:00:00+00:00,119.36,119.84,118.55,119.17,2991441,119.36,119.84,118.55,119.17,2991441,0.0,1.0
CELG,2017-05-17 00:00:00+00:00,117.1,118.8,117.0,118.45,3630148,117.1,118.8,117.0,118.45,3630148,0.0,1.0
CELG,2017-05-18 00:00:00+00:00,117.4,119.09,117.07,117.07,3623018,117.4,119.09,117.07,117.07,3623018,0.0,1.0
CELG,2017-05-19 00:00:00+00:00,116.93,118.42,116.88,117.73,3068174,116.93,118.42,116.88,117.73,3068174,0.0,1.0
CELG,2017-05-22 00:00:00+00:00,115.71,116.69,113.63,116.5,5663372,115.71,116.69,113.63,116.5,5663372,0.0,1.0
CELG,2017-05-23 00:00:00+00:00,117.31,117.95,115.5,115.9,4359938,117.31,117.95,115.5,115.9,4359938,0.0,1.0
CELG,2017-05-24 00:00:00+00:00,117.75,117.93,116.97,117.73,2658115,117.75,117.93,116.97,117.73,2658115,0.0,1.0
CELG,2017-05-25 00:00:00+00:00,116.74,118.08,116.57,117.94,3662073,116.74,118.08,116.57,117.94,3662073,0.0,1.0
CELG,2017-05-26 00:00:00+00:00,116.78,117.18,116.35,116.93,2552327,116.78,117.18,116.35,116.93,2552327,0.0,1.0
CELG,2017-05-30 00:00:00+00:00,115.13,116.81,115.06,116.46,3424616,115.13,116.81,115.06,116.46,3424616,0.0,1.0
CELG,2017-05-31 00:00:00+00:00,114.41,115.1,113.63,115.01,4637852,114.41,115.1,113.63,115.01,4637852,0.0,1.0
CELG,2017-06-01 00:00:00+00:00,116.41,116.78,114.08,114.51,4245924,116.41,116.78,114.08,114.51,4245924,0.0,1.0
CELG,2017-06-02 00:00:00+00:00,118.73,119.05,116.47,116.71,4343695,118.73,119.05,116.47,116.71,4343695,0.0,1.0
CELG,2017-06-05 00:00:00+00:00,118.1,119.59,117.42,119.51,2909409,118.1,119.59,117.42,119.51,2909409,0.0,1.0
CELG,2017-06-06 00:00:00+00:00,116.88,118.08,116.43,117.73,3172548,116.88,118.08,116.43,117.73,3172548,0.0,1.0
CELG,2017-06-07 00:00:00+00:00,117.57,118.23,116.88,116.91,2682501,117.57,118.23,116.88,116.91,2682501,0.0,1.0
