symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COST,2017-04-06 00:00:00+00:00,170.02,172.11,169.3064,169.68,3313816,152.0299428301,153.8987969679,151.3918498574,151.7259187119,3313816,0.0,1.0
COST,2017-04-07 00:00:00+00:00,170.62,171.0,169.43,169.7,1510007,152.5664559797,152.9062476411,151.5023715663,151.7438024836,1510007,0.0,1.0
COST,2017-04-10 00:00:00+00:00,171.22,171.57,169.85,170.2,2002257,153.1029691293,153.4159351332,151.877930771,152.1908967749,2002257,0.0,1.0
COST,2017-04-11 00:00:00+00:00,170.63,171.44,169.63,170.79,1191415,152.5753978655,153.2996906175,151.6812092828,152.7184680387,1191415,0.0,1.0
COST,2017-04-12 00:00:00+00:00,170.17,171.45,169.69,171.43,1422322,152.1640711175,153.3086325033,151.7348605978,153.2907487317,1422322,0.0,1.0
COST,2017-04-13 00:00:00+00:00,168.84,170.62,168.8,170.05,1422469,150.9748003025,152.5664559797,150.9390327592,152.0567684875,1422469,0.0,1.0
COST,2017-04-17 00:00:00+00:00,169.7,169.75,168.71,168.77,1504237,151.7438024836,151.7885119127,150.8585557867,150.9122071017,1504237,0.0,1.0
COST,2017-04-18 00:00:00+00:00,170.13,170.32,169.47,170.05,1542663,152.1283035742,152.2981994049,151.5381391096,152.0567684875,1542663,0.0,1.0
COST,2017-04-19 00:00:00+00:00,170.06,170.93,169.82,170.88,1441284,152.0657103734,152.8436544403,151.8511051135,152.7989450112,1441284,0.0,1.0
COST,2017-04-20 00:00:00+00:00,170.15,171.18,169.95,170.33,1933622,152.1461873458,153.067201586,151.9673496293,152.3071412907,1933622,0.0,1.0
COST,2017-04-21 00:00:00+00:00,170.77,171.8842,170.64,171.52,2257925,152.7005842671,153.6968891859,152.5843397513,153.3712257041,2257925,0.0,1.0
COST,2017-04-24 00:00:00+00:00,172.33,172.61,171.33,172.0,1906898,154.0955184561,154.3458912592,153.2013298734,153.8004362238,1906898,0.0,1.0
COST,2017-04-25 00:00:00+00:00,172.68,173.04,172.29,172.91,1403277,154.40848446,154.7303923498,154.0597509128,154.614147834,1403277,0.0,1.0
COST,2017-04-26 00:00:00+00:00,176.8,178.27,175.42,178.05,4567268,158.0925414207,159.4069986373,156.8585611766,159.2102771491,4567268,0.0,1.0
COST,2017-04-27 00:00:00+00:00,177.45,177.79,176.4198,177.32,2145240,158.6737639995,158.9777881176,157.7525709216,158.5575194837,2145240,0.0,1.0
COST,2017-04-28 00:00:00+00:00,177.52,178.07,176.93,178.07,2331651,158.7363572003,159.2281609208,158.2087859365,159.2281609208,2331651,0.0,1.0
COST,2017-05-01 00:00:00+00:00,177.86,178.5,177.33,178.5,3240078,159.0403813184,159.6126620113,158.5664613696,159.6126620113,3240078,0.0,1.0
COST,2017-05-02 00:00:00+00:00,178.59,178.935,177.94,178.72,2485939,159.6931389838,160.0016340448,159.111916405,159.8093834995,2485939,0.0,1.0
COST,2017-05-03 00:00:00+00:00,179.82,180.46,178.7,178.74,2837195,160.7929909405,161.3652716334,159.7914997279,159.8272672712,2837195,0.0,1.0
COST,2017-05-04 00:00:00+00:00,182.45,183.18,180.0,180.05,3752804,163.144706913,163.7974645783,160.9539448854,160.9986543145,3752804,0.0,1.0
COST,2017-05-05 00:00:00+00:00,180.2,182.92,179.76,182.77,3703613,161.1327826019,163.5649755468,160.7393396255,163.4308472594,3703613,0.0,1.0
