symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CSCO,2017-04-06 00:00:00+00:00,33.08,33.28,32.89,33.0,15316812,28.6452184777,28.8184060138,28.4806903183,28.5759434632,15316812,0.0,1.0
CSCO,2017-04-07 00:00:00+00:00,32.96,33.15,32.92,33.1,13928166,28.541305956,28.7058341153,28.5066684488,28.6625372313,13928166,0.0,1.0
CSCO,2017-04-10 00:00:00+00:00,33.01,33.22,32.87,32.96,14824148,28.58460284,28.766449753,28.4633715647,28.541305956,14824148,0.0,1.0
CSCO,2017-04-11 00:00:00+00:00,32.92,33.08,32.635,33.04,18945836,28.5066684488,28.6452184777,28.2598762098,28.6105809705,18945836,0.0,1.0
CSCO,2017-04-12 00:00:00+00:00,32.62,32.96,32.5,32.86,25455074,28.2468871446,28.541305956,28.1429746229,28.4547121879,25455074,0.0,1.0
CSCO,2017-04-13 00:00:00+00:00,32.42,32.85,32.42,32.71,16234866,28.0736996084,28.4460528111,28.0736996084,28.3248215358,16234866,0.0,1.0
CSCO,2017-04-17 00:00:00+00:00,32.61,32.67,32.45,32.48,11961203,28.2382277678,28.2901840286,28.0996777388,28.1256558693,11961203,0.0,1.0
CSCO,2017-04-18 00:00:00+00:00,32.67,32.73,32.45,32.56,13349601,28.2901840286,28.3421402894,28.0996777388,28.1949308837,13349601,0.0,1.0
CSCO,2017-04-19 00:00:00+00:00,32.65,32.89,32.61,32.8,16373804,28.272865275,28.4806903183,28.2382277678,28.4027559271,16373804,0.0,1.0
CSCO,2017-04-20 00:00:00+00:00,32.83,32.95,32.72,32.79,11927466,28.4287340575,28.5326465792,28.3334809126,28.3940965503,11927466,0.0,1.0
CSCO,2017-04-21 00:00:00+00:00,32.82,32.94,32.67,32.94,13877681,28.4200746807,28.5239872024,28.2901840286,28.5239872024,13877681,0.0,1.0
CSCO,2017-04-24 00:00:00+00:00,33.28,33.36,33.13,33.24,15379635,28.8184060138,28.8876810283,28.6885153617,28.7837685066,15379635,0.0,1.0
CSCO,2017-04-25 00:00:00+00:00,33.42,33.52,33.35,33.39,14823502,28.9396372891,29.0262310572,28.8790216515,28.9136591587,14823502,0.0,1.0
CSCO,2017-04-26 00:00:00+00:00,33.4,33.63,33.37,33.58,15558064,28.9223185355,29.1214842021,28.8963404051,29.078187318,15558064,0.0,1.0
CSCO,2017-04-27 00:00:00+00:00,33.75,34.11,33.62,34.01,26143530,29.2253967238,29.5371342888,29.1128248253,29.4505405207,26143530,0.0,1.0
CSCO,2017-04-28 00:00:00+00:00,34.07,34.075,33.67,33.88,19738533,29.5024967816,29.50682647,29.1561217093,29.3379686222,19738533,0.0,1.0
CSCO,2017-05-01 00:00:00+00:00,33.97,34.14,33.81,34.11,13233720,29.4159030135,29.5631124192,29.2773529846,29.5371342888,13233720,0.0,1.0
CSCO,2017-05-02 00:00:00+00:00,34.24,34.24,33.93,34.06,14139327,29.6497061873,29.6497061873,29.3812655063,29.4938374048,14139327,0.0,1.0
CSCO,2017-05-03 00:00:00+00:00,34.25,34.335,34.12,34.16,14235734,29.6583655641,29.731970267,29.5457936656,29.5804311728,14235734,0.0,1.0
CSCO,2017-05-04 00:00:00+00:00,34.18,34.49,34.07,34.33,13621120,29.5977499265,29.8661906075,29.5024967816,29.7276405786,13621120,0.0,1.0
CSCO,2017-05-05 00:00:00+00:00,34.39,34.4,34.07,34.25,14632151,29.7795968394,29.7882562162,29.5024967816,29.6583655641,14632151,0.0,1.0
CSCO,2017-05-08 00:00:00+00:00,34.29,34.6,34.15,34.46,13121916,29.6930030713,29.9614437524,29.571771796,29.8402124771,13121916,0.0,1.0
CSCO,2017-05-09 00:00:00+00:00,33.9,34.255,33.84,34.14,18342556,29.3552873759,29.6626952525,29.303331115,29.5631124192,18342556,0.0,1.0
CSCO,2017-05-10 00:00:00+00:00,33.74,33.9,33.58,33.9,17203603,29.2167373469,29.3552873759,29.078187318,29.3552873759,17203603,0.0,1.0
CSCO,2017-05-11 00:00:00+00:00,33.63,33.82,33.48,33.72,16374518,29.1214842021,29.2860123614,28.99159355,29.1994185933,16374518,0.0,1.0
CSCO,2017-05-12 00:00:00+00:00,33.45,33.62,33.14,33.6,19979562,28.9656154195,29.1128248253,28.6971747385,29.0955060716,19979562,0.0,1.0
CSCO,2017-05-15 00:00:00+00:00,34.23,34.46,33.9723,34.0,30393357,29.6410468105,29.8402124771,29.4178946702,29.4418811439,30393357,0.0,1.0
CSCO,2017-05-16 00:00:00+00:00,34.3,34.33,34.035,34.24,18667713,29.7016624481,29.7276405786,29.4721889628,29.6497061873,18667713,0.0,1.0
CSCO,2017-05-17 00:00:00+00:00,33.82,34.31,33.8,34.2,33638700,29.2860123614,29.7103218249,29.2686936078,29.6150686801,33638700,0.0,1.0
CSCO,2017-05-18 00:00:00+00:00,31.38,31.51,30.37,31.1,855005,27.1731244205,27.285696319,26.298527363,26.9306618699,855005,0.0,1.0
CSCO,2017-05-19 00:00:00+00:00,31.21,31.78,31.015,31.74,38397740,27.0259150148,27.5194994928,26.857057167,27.4848619855,38397740,0.0,1.0
CSCO,2017-05-22 00:00:00+00:00,31.59,31.98,31.15,31.15,34678962,27.3549713334,27.6926870289,26.9739587539,26.9739587539,34678962,0.0,1.0
CSCO,2017-05-23 00:00:00+00:00,31.76,31.87,31.52,31.83,29564336,27.5021807392,27.597433884,27.2943556958,27.5627963768,29564336,0.0,1.0
CSCO,2017-05-24 00:00:00+00:00,31.49,31.94,31.22,31.93,23279197,27.2683775654,27.6580495217,27.0345743916,27.6493901449,23279197,0.0,1.0
CSCO,2017-05-25 00:00:00+00:00,31.44,31.69,31.37,31.55,21405376,27.2250806813,27.4415651015,27.1644650437,27.3203338262,21405376,0.0,1.0
CSCO,2017-05-26 00:00:00+00:00,31.5,31.59,31.36,31.51,16289783,27.2770369422,27.3549713334,27.1558056669,27.285696319,16289783,0.0,1.0
CSCO,2017-05-30 00:00:00+00:00,31.68,31.81,31.39,31.4,16792437,27.4329057247,27.5454776232,27.1817837973,27.1904431741,16792437,0.0,1.0
CSCO,2017-05-31 00:00:00+00:00,31.53,31.89,31.465,31.78,29044645,27.3030150726,27.6147526376,27.2467291233,27.5194994928,29044645,0.0,1.0
CSCO,2017-06-01 00:00:00+00:00,31.82,31.82,31.47,31.52,15397418,27.554137,27.554137,27.2510588118,27.2943556958,15397418,0.0,1.0
CSCO,2017-06-02 00:00:00+00:00,31.98,32.06,31.68,31.93,19978713,27.6926870289,27.7619620434,27.4329057247,27.6493901449,19978713,0.0,1.0
CSCO,2017-06-05 00:00:00+00:00,31.76,32.05,31.57,32.05,15581429,27.5021807392,27.7533026666,27.3376525798,27.7533026666,15581429,0.0,1.0
CSCO,2017-06-06 00:00:00+00:00,31.56,31.76,31.5,31.75,15987734,27.328993203,27.5021807392,27.2770369422,27.4935213623,15987734,0.0,1.0
CSCO,2017-06-07 00:00:00+00:00,31.61,31.72,31.44,31.61,14417549,27.372290087,27.4675432319,27.2250806813,27.372290087,14417549,0.0,1.0
CSCO,2017-06-08 00:00:00+00:00,31.61,31.81,31.52,31.53,19877271,27.372290087,27.5454776232,27.2943556958,27.3030150726,19877271,0.0,1.0
CSCO,2017-06-09 00:00:00+00:00,31.37,31.83,31.085,31.64,25031675,27.1644650437,27.5627963768,26.9176728047,27.3982682175,25031675,0.0,1.0
CSCO,2017-06-12 00:00:00+00:00,31.25,31.64,31.15,31.34,24330382,27.060552522,27.3982682175,26.9739587539,27.1384869133,24330382,0.0,1.0
CSCO,2017-06-13 00:00:00+00:00,31.7,31.8,31.28,31.3,27251001,27.4502244783,27.5368182464,27.0865306524,27.103849406,27251001,0.0,1.0
CSCO,2017-06-14 00:00:00+00:00,31.6,31.97,31.33,31.87,24850713,27.3636307102,27.6840276521,27.1298275365,27.597433884,24850713,0.0,1.0
CSCO,2017-06-15 00:00:00+00:00,31.58,31.64,31.22,31.25,19110962,27.3463119566,27.3982682175,27.0345743916,27.060552522,19110962,0.0,1.0
CSCO,2017-06-16 00:00:00+00:00,31.63,31.64,31.2,31.61,33785850,27.3896088407,27.3982682175,27.017255638,27.372290087,33785850,0.0,1.0
CSCO,2017-06-19 00:00:00+00:00,31.99,32.02,31.581,31.77,16753701,27.7013464057,27.7273245361,27.3471778943,27.510840116,16753701,0.0,1.0
CSCO,2017-06-20 00:00:00+00:00,31.85,32.16,31.84,31.94,17859664,27.5801151304,27.8485558114,27.5714557536,27.6580495217,17859664,0.0,1.0
CSCO,2017-06-21 00:00:00+00:00,31.84,31.87,31.51,31.73,20103067,27.5714557536,27.597433884,27.285696319,27.4762026087,20103067,0.0,1.0
CSCO,2017-06-22 00:00:00+00:00,31.85,32.0,31.7,31.91,19194637,27.5801151304,27.7100057825,27.4502244783,27.6320713913,19194637,0.0,1.0
CSCO,2017-06-23 00:00:00+00:00,32.09,32.3,31.75,31.85,23006424,27.7879401738,27.9697870867,27.4935213623,27.5801151304,23006424,0.0,1.0
CSCO,2017-06-26 00:00:00+00:00,32.24,32.5,32.18,32.22,21409287,27.9178308259,28.1429746229,27.8658745651,27.9005120723,21409287,0.0,1.0
CSCO,2017-06-27 00:00:00+00:00,31.76,32.26,31.76,32.09,23092594,27.5021807392,27.9351495795,27.5021807392,27.7879401738,23092594,0.0,1.0
CSCO,2017-06-28 00:00:00+00:00,32.08,32.275,31.76,31.78,17587686,27.779280797,27.9481386447,27.5021807392,27.5194994928,17587686,0.0,1.0
CSCO,2017-06-29 00:00:00+00:00,31.41,32.025,31.25,31.79,26891695,27.1991025509,27.7316542245,27.060552522,27.5281588696,26891695,0.0,1.0
CSCO,2017-06-30 00:00:00+00:00,31.3,31.79,31.3,31.79,22981379,27.103849406,27.5281588696,27.103849406,27.5281588696,22981379,0.0,1.0
CSCO,2017-07-03 00:00:00+00:00,31.33,31.64,31.03,31.09,14111474,27.1298275365,27.3982682175,26.8700462322,26.9220024931,14111474,0.0,1.0
CSCO,2017-07-05 00:00:00+00:00,31.11,31.27,30.73,30.85,23391894,27.1904431741,27.3302847333,26.8583194709,26.9632006403,23391894,0.29,1.0
CSCO,2017-07-06 00:00:00+00:00,30.72,31.02,30.67,30.99,20456451,26.8495793735,27.111782297,26.8058788862,27.0855620047,20456451,0.0,1.0
CSCO,2017-07-07 00:00:00+00:00,30.9,31.07,30.75,30.76,15221015,27.0069011276,27.1554827843,26.8757996658,26.8845397633,15221015,0.0,1.0
CSCO,2017-07-10 00:00:00+00:00,30.98,31.09,30.82,30.88,15193572,27.0768219072,27.1729629792,26.936980348,26.9894209327,15193572,0.0,1.0
CSCO,2017-07-11 00:00:00+00:00,31.09,31.12,30.86,31.05,12253478,27.1729629792,27.1991832716,26.9719407378,27.1380025894,12253478,0.0,1.0
CSCO,2017-07-12 00:00:00+00:00,31.16,31.44,31.145,31.25,18428809,27.2341436614,27.47886639,27.2210335152,27.3128045384,18428809,0.0,1.0
CSCO,2017-07-13 00:00:00+00:00,31.27,31.28,31.08,31.26,15870454,27.3302847333,27.3390248308,27.1642228817,27.3215446359,15870454,0.0,1.0
CSCO,2017-07-14 00:00:00+00:00,31.42,31.45,31.27,31.37,13261554,27.4613861951,27.4876064875,27.3302847333,27.4176857079,13261554,0.0,1.0
CSCO,2017-07-17 00:00:00+00:00,31.5,31.635,31.45,31.5,16012951,27.5313069747,27.6492982903,27.4876064875,27.5313069747,16012951,0.0,1.0
CSCO,2017-07-18 00:00:00+00:00,31.51,31.51,31.17,31.41,15366450,27.5400470722,27.5400470722,27.2428837588,27.4526460977,15366450,0.0,1.0
CSCO,2017-07-19 00:00:00+00:00,31.9,32.05,31.46,31.51,21369697,27.8809108728,28.0120123346,27.4963465849,27.5400470722,21369697,0.0,1.0
CSCO,2017-07-20 00:00:00+00:00,31.86,32.05,31.76,31.91,15917114,27.845950483,28.0120123346,27.7585495085,27.8896509703,15917114,0.0,1.0
CSCO,2017-07-21 00:00:00+00:00,31.84,32.03,31.705,31.86,13271427,27.8284702881,27.9945321397,27.7104789725,27.845950483,13271427,0.0,1.0
CSCO,2017-07-24 00:00:00+00:00,31.86,31.925,31.66,31.86,15232167,27.845950483,27.9027611165,27.671148534,27.845950483,15232167,0.0,1.0
CSCO,2017-07-25 00:00:00+00:00,32.12,32.25,31.88,31.9,14848920,28.0731930168,28.1868142837,27.8634306779,27.8809108728,14848920,0.0,1.0
CSCO,2017-07-26 00:00:00+00:00,31.66,32.225,31.51,32.12,21472799,27.671148534,28.16496404,27.5400470722,28.0731930168,21472799,0.0,1.0
CSCO,2017-07-27 00:00:00+00:00,31.57,31.7502,31.21,31.73,21224338,27.5924876569,27.749984213,27.2778441486,27.7323292161,21224338,0.0,1.0
CSCO,2017-07-28 00:00:00+00:00,31.52,31.6,31.26,31.45,15509841,27.5487871696,27.6187079493,27.3215446359,27.4876064875,15509841,0.0,1.0
CSCO,2017-07-31 00:00:00+00:00,31.45,31.59,31.37,31.54,18534978,27.4876064875,27.6099678518,27.4176857079,27.5662673646,18534978,0.0,1.0
CSCO,2017-08-01 00:00:00+00:00,31.65,31.66,31.43,31.59,12727298,27.6624084365,27.671148534,27.4701262926,27.6099678518,12727298,0.0,1.0
