symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DISCK,2017-04-06 00:00:00+00:00,28.62,28.88,28.36,28.53,1845218,28.62,28.88,28.36,28.53,1845218,0.0,1.0
DISCK,2017-04-07 00:00:00+00:00,28.57,28.72,28.479,28.65,1175357,28.57,28.72,28.479,28.65,1175357,0.0,1.0
DISCK,2017-04-10 00:00:00+00:00,28.61,28.825,28.52,28.52,1522080,28.61,28.825,28.52,28.52,1522080,0.0,1.0
DISCK,2017-04-11 00:00:00+00:00,28.48,28.61,28.26,28.56,1274944,28.48,28.61,28.26,28.56,1274944,0.0,1.0
DISCK,2017-04-12 00:00:00+00:00,28.14,28.43,28.07,28.33,1381971,28.14,28.43,28.07,28.33,1381971,0.0,1.0
DISCK,2017-04-13 00:00:00+00:00,27.73,28.18,27.68,28.12,1214296,27.73,28.18,27.68,28.12,1214296,0.0,1.0
DISCK,2017-04-17 00:00:00+00:00,27.94,28.08,27.7,27.86,1318931,27.94,28.08,27.7,27.86,1318931,0.0,1.0
DISCK,2017-04-18 00:00:00+00:00,28.02,28.1,27.79,27.88,1031121,28.02,28.1,27.79,27.88,1031121,0.0,1.0
DISCK,2017-04-19 00:00:00+00:00,28.37,28.54,28.08,28.08,1020957,28.37,28.54,28.08,28.08,1020957,0.0,1.0
DISCK,2017-04-20 00:00:00+00:00,28.72,28.85,28.48,28.56,1226377,28.72,28.85,28.48,28.56,1226377,0.0,1.0
DISCK,2017-04-21 00:00:00+00:00,28.65,28.89,28.59,28.71,1128329,28.65,28.89,28.59,28.71,1128329,0.0,1.0
DISCK,2017-04-24 00:00:00+00:00,28.9,29.18,28.81,29.0,1148485,28.9,29.18,28.81,29.0,1148485,0.0,1.0
DISCK,2017-04-25 00:00:00+00:00,28.765,29.02,28.75,28.93,2491664,28.765,29.02,28.75,28.93,2491664,0.0,1.0
DISCK,2017-04-26 00:00:00+00:00,28.79,28.965,28.65,28.68,1091042,28.79,28.965,28.65,28.68,1091042,0.0,1.0
DISCK,2017-04-27 00:00:00+00:00,28.71,28.895,28.61,28.77,1449650,28.71,28.895,28.61,28.77,1449650,0.0,1.0
DISCK,2017-04-28 00:00:00+00:00,27.98,28.72,27.67,28.72,2844248,27.98,28.72,27.67,28.72,2844248,0.0,1.0
DISCK,2017-05-01 00:00:00+00:00,27.19,28.09,27.16,28.09,2716482,27.19,28.09,27.16,28.09,2716482,0.0,1.0
DISCK,2017-05-02 00:00:00+00:00,27.21,27.3,26.67,27.15,1375485,27.21,27.3,26.67,27.15,1375485,0.0,1.0
DISCK,2017-05-03 00:00:00+00:00,26.19,27.36,25.84,27.36,3318309,26.19,27.36,25.84,27.36,3318309,0.0,1.0
