symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DLTR,2017-04-06 00:00:00+00:00,78.05,79.07,77.02,77.06,3254375,78.05,79.07,77.02,77.06,3254375,0.0,1.0
DLTR,2017-04-07 00:00:00+00:00,77.61,78.21,77.43,78.05,2066277,77.61,78.21,77.43,78.05,2066277,0.0,1.0
DLTR,2017-04-10 00:00:00+00:00,77.74,78.65,77.42,77.67,1551626,77.74,78.65,77.42,77.67,1551626,0.0,1.0
DLTR,2017-04-11 00:00:00+00:00,77.08,77.75,76.41,77.68,2283364,77.08,77.75,76.41,77.68,2283364,0.0,1.0
DLTR,2017-04-12 00:00:00+00:00,77.14,77.52,76.54,76.8,1939309,77.14,77.52,76.54,76.8,1939309,0.0,1.0
DLTR,2017-04-13 00:00:00+00:00,76.46,77.6,76.45,77.19,1851776,76.46,77.6,76.45,77.19,1851776,0.0,1.0
DLTR,2017-04-17 00:00:00+00:00,76.83,76.94,76.17,76.67,1806281,76.83,76.94,76.17,76.67,1806281,0.0,1.0
DLTR,2017-04-18 00:00:00+00:00,77.43,77.81,76.53,76.73,2173059,77.43,77.81,76.53,76.73,2173059,0.0,1.0
DLTR,2017-04-19 00:00:00+00:00,78.02,78.9,77.49,77.81,2262769,78.02,78.9,77.49,77.81,2262769,0.0,1.0
DLTR,2017-04-20 00:00:00+00:00,79.57,80.51,78.45,78.45,4098646,79.57,80.51,78.45,78.45,4098646,0.0,1.0
DLTR,2017-04-21 00:00:00+00:00,78.81,79.79,78.68,79.73,2285036,78.81,79.79,78.68,79.73,2285036,0.0,1.0
DLTR,2017-04-24 00:00:00+00:00,79.79,80.5,79.45,80.02,2245063,79.79,80.5,79.45,80.02,2245063,0.0,1.0
DLTR,2017-04-25 00:00:00+00:00,80.69,80.82,79.37,80.28,1939333,80.69,80.82,79.37,80.28,1939333,0.0,1.0
DLTR,2017-04-26 00:00:00+00:00,81.73,82.42,80.69,81.0,2951051,81.73,82.42,80.69,81.0,2951051,0.0,1.0
DLTR,2017-04-27 00:00:00+00:00,83.13,83.14,81.49,81.73,3063381,83.13,83.14,81.49,81.73,3063381,0.0,1.0
DLTR,2017-04-28 00:00:00+00:00,82.77,83.21,82.23,82.98,2389551,82.77,83.21,82.23,82.98,2389551,0.0,1.0
