symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ESRX,2017-04-06 00:00:00+00:00,65.79,66.08,65.25,65.74,4972847,65.79,66.08,65.25,65.74,4972847,0.0,1.0
ESRX,2017-04-07 00:00:00+00:00,66.51,66.8,65.88,66.04,3881050,66.51,66.8,65.88,66.04,3881050,0.0,1.0
ESRX,2017-04-10 00:00:00+00:00,66.9,67.28,66.32,66.57,3953647,66.9,67.28,66.32,66.57,3953647,0.0,1.0
ESRX,2017-04-11 00:00:00+00:00,66.77,67.07,66.5,66.95,2427266,66.77,67.07,66.5,66.95,2427266,0.0,1.0
ESRX,2017-04-12 00:00:00+00:00,66.54,66.69,66.25,66.26,3168777,66.54,66.69,66.25,66.26,3168777,0.0,1.0
ESRX,2017-04-13 00:00:00+00:00,66.47,66.87,66.45,66.68,2329041,66.47,66.87,66.45,66.68,2329041,0.0,1.0
ESRX,2017-04-17 00:00:00+00:00,66.67,66.96,66.46,66.76,3294313,66.67,66.96,66.46,66.76,3294313,0.0,1.0
ESRX,2017-04-18 00:00:00+00:00,66.09,66.48,65.63,66.3,3622254,66.09,66.48,65.63,66.3,3622254,0.0,1.0
ESRX,2017-04-19 00:00:00+00:00,66.36,66.51,65.97,66.42,2363734,66.36,66.51,65.97,66.42,2363734,0.0,1.0
ESRX,2017-04-20 00:00:00+00:00,67.05,67.35,66.1,66.45,2789192,67.05,67.35,66.1,66.45,2789192,0.0,1.0
ESRX,2017-04-21 00:00:00+00:00,66.46,67.15,65.98,67.02,2843351,66.46,67.15,65.98,67.02,2843351,0.0,1.0
ESRX,2017-04-24 00:00:00+00:00,67.25,67.51,66.97,67.27,7800531,67.25,67.51,66.97,67.27,7800531,0.0,1.0
ESRX,2017-04-25 00:00:00+00:00,60.01,61.17,57.8,58.72,368514,60.01,61.17,57.8,58.72,368514,0.0,1.0
ESRX,2017-04-26 00:00:00+00:00,61.28,62.65,61.0,62.1,14363474,61.28,62.65,61.0,62.1,14363474,0.0,1.0
ESRX,2017-04-27 00:00:00+00:00,61.4,62.05,61.18,61.22,6354990,61.4,62.05,61.18,61.22,6354990,0.0,1.0
ESRX,2017-04-28 00:00:00+00:00,61.34,61.64,60.84,61.62,6466140,61.34,61.64,60.84,61.62,6466140,0.0,1.0
ESRX,2017-05-01 00:00:00+00:00,60.92,61.68,60.87,61.42,3396606,60.92,61.68,60.87,61.42,3396606,0.0,1.0
ESRX,2017-05-02 00:00:00+00:00,61.7,61.98,60.58,61.06,5089694,61.7,61.98,60.58,61.06,5089694,0.0,1.0
ESRX,2017-05-03 00:00:00+00:00,62.26,62.5,61.23,61.6,4220685,62.26,62.5,61.23,61.6,4220685,0.0,1.0
ESRX,2017-05-04 00:00:00+00:00,61.79,63.13,61.71,62.39,4799552,61.79,63.13,61.71,62.39,4799552,0.0,1.0
ESRX,2017-05-05 00:00:00+00:00,61.58,61.96,61.18,61.85,3264770,61.58,61.96,61.18,61.85,3264770,0.0,1.0
ESRX,2017-05-08 00:00:00+00:00,61.6,62.02,61.3,61.78,3017406,61.6,62.02,61.3,61.78,3017406,0.0,1.0
ESRX,2017-05-09 00:00:00+00:00,62.08,62.23,61.4,61.61,3926023,62.08,62.23,61.4,61.61,3926023,0.0,1.0
ESRX,2017-05-10 00:00:00+00:00,61.02,62.1,60.83,61.83,4778454,61.02,62.1,60.83,61.83,4778454,0.0,1.0
ESRX,2017-05-11 00:00:00+00:00,60.66,61.0,60.28,60.8,4779191,60.66,61.0,60.28,60.8,4779191,0.0,1.0
ESRX,2017-05-12 00:00:00+00:00,59.63,60.79,59.4,60.68,7338864,59.63,60.79,59.4,60.68,7338864,0.0,1.0
ESRX,2017-05-15 00:00:00+00:00,60.32,60.46,59.71,59.87,4304038,60.32,60.46,59.71,59.87,4304038,0.0,1.0
ESRX,2017-05-16 00:00:00+00:00,60.16,60.34,59.58,60.31,3626776,60.16,60.34,59.58,60.31,3626776,0.0,1.0
ESRX,2017-05-17 00:00:00+00:00,59.73,60.26,59.44,59.47,5373705,59.73,60.26,59.44,59.47,5373705,0.0,1.0
ESRX,2017-05-18 00:00:00+00:00,59.26,60.49,59.21,60.43,5254065,59.26,60.49,59.21,60.43,5254065,0.0,1.0
ESRX,2017-05-19 00:00:00+00:00,60.11,60.2,59.14,59.2,5735496,60.11,60.2,59.14,59.2,5735496,0.0,1.0
ESRX,2017-05-22 00:00:00+00:00,60.31,60.56,59.76,59.97,2978658,60.31,60.56,59.76,59.97,2978658,0.0,1.0
ESRX,2017-05-23 00:00:00+00:00,60.15,60.33,59.75,60.23,3562232,60.15,60.33,59.75,60.23,3562232,0.0,1.0
ESRX,2017-05-24 00:00:00+00:00,59.86,60.33,59.58,59.97,2817903,59.86,60.33,59.58,59.97,2817903,0.0,1.0
ESRX,2017-05-25 00:00:00+00:00,60.09,60.24,59.83,59.92,2570891,60.09,60.24,59.83,59.92,2570891,0.0,1.0
ESRX,2017-05-26 00:00:00+00:00,59.76,60.33,59.57,60.05,2309761,59.76,60.33,59.57,60.05,2309761,0.0,1.0
ESRX,2017-05-30 00:00:00+00:00,59.6,59.94,59.2,59.52,3057909,59.6,59.94,59.2,59.52,3057909,0.0,1.0
ESRX,2017-05-31 00:00:00+00:00,59.75,59.77,59.17,59.61,3168386,59.75,59.77,59.17,59.61,3168386,0.0,1.0
ESRX,2017-06-01 00:00:00+00:00,60.4,60.56,59.68,59.92,3356507,60.4,60.56,59.68,59.92,3356507,0.0,1.0
ESRX,2017-06-02 00:00:00+00:00,60.69,60.83,60.22,60.4,3251742,60.69,60.83,60.22,60.4,3251742,0.0,1.0
ESRX,2017-06-05 00:00:00+00:00,61.28,61.34,60.55,61.0,3767866,61.28,61.34,60.55,61.0,3767866,0.0,1.0
ESRX,2017-06-06 00:00:00+00:00,60.25,61.21,60.23,61.21,3888735,60.25,61.21,60.23,61.21,3888735,0.0,1.0
ESRX,2017-06-07 00:00:00+00:00,60.37,60.4,60.03,60.06,2552187,60.37,60.4,60.03,60.06,2552187,0.0,1.0
ESRX,2017-06-08 00:00:00+00:00,60.36,60.7,60.08,60.19,2424701,60.36,60.7,60.08,60.19,2424701,0.0,1.0
ESRX,2017-06-09 00:00:00+00:00,61.41,61.72,60.17,60.27,3104130,61.41,61.72,60.17,60.27,3104130,0.0,1.0
ESRX,2017-06-12 00:00:00+00:00,62.52,63.59,61.05,61.32,5160518,62.52,63.59,61.05,61.32,5160518,0.0,1.0
ESRX,2017-06-13 00:00:00+00:00,62.63,62.92,62.14,62.62,4199247,62.63,62.92,62.14,62.62,4199247,0.0,1.0
ESRX,2017-06-14 00:00:00+00:00,63.12,63.5,62.67,62.95,3244065,63.12,63.5,62.67,62.95,3244065,0.0,1.0
ESRX,2017-06-15 00:00:00+00:00,63.09,64.07,62.53,63.32,4935680,63.09,64.07,62.53,63.32,4935680,0.0,1.0
ESRX,2017-06-16 00:00:00+00:00,63.01,63.05,61.98,62.8,8414702,63.01,63.05,61.98,62.8,8414702,0.0,1.0
ESRX,2017-06-19 00:00:00+00:00,64.23,64.62,62.91,63.05,3826102,64.23,64.62,62.91,63.05,3826102,0.0,1.0
ESRX,2017-06-20 00:00:00+00:00,63.42,64.2,63.41,64.0,3273653,63.42,64.2,63.41,64.0,3273653,0.0,1.0
ESRX,2017-06-21 00:00:00+00:00,63.97,64.22,63.21,63.53,3368908,63.97,64.22,63.21,63.53,3368908,0.0,1.0
ESRX,2017-06-22 00:00:00+00:00,64.91,66.56,63.65,63.78,6698549,64.91,66.56,63.65,63.78,6698549,0.0,1.0
