symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FAST,2017-04-06 00:00:00+00:00,50.95,51.75,50.84,51.72,2859311,22.2347013529,22.5838232584,22.1866970909,22.5707311869,5718622,0.0,1.0
FAST,2017-04-07 00:00:00+00:00,50.23,51.13,50.05,51.0,3065870,21.920491638,22.3132537817,21.8419392093,22.256521472,6131740,0.0,1.0
FAST,2017-04-10 00:00:00+00:00,50.43,50.64,49.87,50.39,2821807,22.0077721144,22.0994166146,21.7633867806,21.9903160191,5643614,0.0,1.0
FAST,2017-04-11 00:00:00+00:00,50.34,50.5,49.48,50.39,3888158,21.9684959,22.0383202811,21.5931898517,21.9903160191,7776316,0.0,1.0
FAST,2017-04-12 00:00:00+00:00,46.29,48.17,46.23,48.0,12223210,20.2010662537,21.0215027315,20.1748821108,20.9473143266,24446420,0.0,1.0
FAST,2017-04-13 00:00:00+00:00,45.54,47.05,45.53,46.5,4826612,19.8737644674,20.5327320639,19.8694004436,20.2927107539,9653224,0.0,1.0
FAST,2017-04-17 00:00:00+00:00,45.8,45.86,45.2,45.6,3119175,19.9872290866,20.0134132296,19.7253876576,19.8999486103,6238350,0.0,1.0
FAST,2017-04-18 00:00:00+00:00,44.26,45.59,44.23,45.03,6794724,19.3151694187,19.8955845865,19.3020773472,19.6511992527,13589448,0.0,1.0
FAST,2017-04-19 00:00:00+00:00,45.45,45.5,44.62,45.03,6431303,19.834488253,19.8563083721,19.4722742761,19.6511992527,12862606,0.0,1.0
FAST,2017-04-20 00:00:00+00:00,45.47,45.93,45.33,45.56,3631758,19.8432163006,20.0439613963,19.7821199672,19.882492515,7263516,0.0,1.0
FAST,2017-04-21 00:00:00+00:00,45.74,45.875,45.19,45.6,2765556,19.9610449437,20.0199592653,19.7210236337,19.8999486103,5531112,0.0,1.0
FAST,2017-04-24 00:00:00+00:00,45.41,46.33,45.22,46.22,3306532,19.9566809199,20.3610003748,19.8731801629,20.3126578313,6613064,0.32,1.0
FAST,2017-04-25 00:00:00+00:00,45.72,45.94,45.3,45.53,2966557,20.0929189971,20.1896040841,19.9083383764,20.0094182401,5933114,0.0,1.0
