symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FOXA,2019-03-12 00:00:00+00:00,38.0,38.0,38.0,38.0,10000,36.2641209907,36.2641209907,36.2641209907,36.2641209907,10000,0.0,1.0
FOXA,2019-03-13 00:00:00+00:00,39.75,39.9,38.7,39.0,20477364,37.9341791943,38.0773270403,36.9321442722,37.2184399642,20477364,0.0,1.0
FOXA,2019-03-14 00:00:00+00:00,40.65,41.4,39.75,39.75,6248563,38.7930662704,39.5088055004,37.9341791943,37.9341791943,6248563,0.0,1.0
FOXA,2019-03-15 00:00:00+00:00,41.7,41.87,41.24,41.38,7107258,39.7951011925,39.957335418,39.3561144647,39.489719121,7107258,0.0,1.0
FOXA,2019-03-18 00:00:00+00:00,41.7,41.95,41.05,41.95,4020942,39.7951011925,40.0336809358,39.1747938597,40.0336809358,4020942,0.0,1.0
FOXA,2019-03-19 00:00:00+00:00,40.34,41.7,39.84,41.55,10118472,38.4972273886,39.7951011925,38.0200679019,39.6519533465,10118472,0.0,1.0
FOXA,2019-03-20 00:00:00+00:00,38.62,40.81,38.24,40.49,15683238,36.8557987543,38.9457573061,36.4931575444,38.6403752346,15683238,0.0,1.0
FOXA,2019-03-21 00:00:00+00:00,40.02,40.07,38.75,39.0,12751732,38.1918453171,38.2395612658,36.9798602208,37.2184399642,12751732,0.0,1.0
FOXA,2019-03-22 00:00:00+00:00,38.72,39.99,37.69,39.93,10897994,36.9512306516,38.1632157479,35.968282109,38.1059566095,10897994,0.0,1.0
FOXA,2019-03-25 00:00:00+00:00,37.44,38.96,37.39,38.89,9338926,35.7297023656,37.1802672052,35.6819864169,37.1134648771,9338926,0.0,1.0
FOXA,2019-03-26 00:00:00+00:00,37.54,38.28,37.51,37.65,6287100,35.825134263,36.5313303033,35.7965046938,35.93010935,6287100,0.0,1.0
FOXA,2019-03-27 00:00:00+00:00,36.92,37.91,36.76,37.52,5578118,35.2334564994,36.1782322831,35.0807654637,35.8060478835,5578118,0.0,1.0
FOXA,2019-03-28 00:00:00+00:00,36.4,37.15,36.34,36.85,5326238,34.7372106332,35.4529498633,34.6799514948,35.1666541713,5326238,0.0,1.0
FOXA,2019-03-29 00:00:00+00:00,36.71,36.91,36.15,36.55,5895347,35.033049515,35.2239133097,34.4986308899,34.8803584793,5895347,0.0,1.0
FOXA,2019-04-01 00:00:00+00:00,36.85,37.15,36.71,36.91,5311201,35.1666541713,35.4529498633,35.033049515,35.2239133097,5311201,0.0,1.0
FOXA,2019-04-02 00:00:00+00:00,36.28,37.18,35.9,36.96,6704831,34.6226923564,35.4815794325,34.2600511465,35.2716292584,6704831,0.0,1.0
FOXA,2019-04-03 00:00:00+00:00,36.08,36.56,35.9,36.37,8393708,34.4318285617,34.889901669,34.2600511465,34.708581064,8393708,0.0,1.0
FOXA,2019-04-04 00:00:00+00:00,36.76,36.8,36.01,36.2,4908406,35.0807654637,35.1189382226,34.3650262336,34.5463468386,4908406,0.0,1.0
FOXA,2019-04-05 00:00:00+00:00,37.68,37.85,36.69,36.79,7344894,35.9587389192,36.1209731447,35.0139631355,35.1093950329,7344894,0.0,1.0
FOXA,2019-04-08 00:00:00+00:00,37.47,37.68,37.265,37.6,3393260,35.7583319348,35.9587389192,35.5626965453,35.8823934014,3393260,0.0,1.0
FOXA,2019-04-09 00:00:00+00:00,37.31,37.65,37.17,37.42,5725894,35.6056408991,35.93010935,35.4720362428,35.7106159862,5725894,0.0,1.0
FOXA,2019-04-10 00:00:00+00:00,36.48,37.53,36.36,37.33,4828362,34.8135561511,35.8155910732,34.6990378743,35.6247272785,4828362,0.0,1.0
FOXA,2019-04-11 00:00:00+00:00,37.09,37.16,35.99,36.57,4791432,35.3956907249,35.4624930531,34.3459398541,34.8994448587,4791432,0.0,1.0
FOXA,2019-04-12 00:00:00+00:00,37.53,37.62,36.47,37.15,6368477,35.8155910732,35.9014797808,34.8040129614,35.4529498633,6368477,0.0,1.0
FOXA,2019-04-15 00:00:00+00:00,37.53,37.57,36.99,37.46,3927062,35.8155910732,35.8537638322,35.3002588276,35.7487887451,3927062,0.0,1.0
FOXA,2019-04-16 00:00:00+00:00,37.75,37.85,37.47,37.67,5721982,36.0255412474,36.1209731447,35.7583319348,35.9491957295,5721982,0.0,1.0
FOXA,2019-04-17 00:00:00+00:00,38.84,38.85,37.76,37.87,7603795,37.0657489284,37.0752921182,36.0350844371,36.1400595242,7603795,0.0,1.0
FOXA,2019-04-18 00:00:00+00:00,38.44,39.0,38.43,38.91,4737418,36.6840213391,37.2184399642,36.6744781493,37.1325512566,4737418,0.0,1.0
FOXA,2019-04-22 00:00:00+00:00,37.7,38.44,37.62,38.36,7675316,35.9778252987,36.6840213391,35.9014797808,36.6076758212,7675316,0.0,1.0
FOXA,2019-04-23 00:00:00+00:00,38.08,38.39,37.63,37.79,6328827,36.3404665086,36.6363053904,35.9110229706,36.0637140063,6328827,0.0,1.0
FOXA,2019-04-24 00:00:00+00:00,37.96,38.31,37.805,37.95,5323550,36.2259482318,36.5599598725,36.0780287909,36.2164050421,5323550,0.0,1.0
FOXA,2019-04-25 00:00:00+00:00,38.15,38.2,37.54,37.98,5309675,36.4072688368,36.4549847854,35.825134263,36.2450346113,5309675,0.0,1.0
FOXA,2019-04-26 00:00:00+00:00,38.48,38.53,37.9,38.08,5297417,36.722194098,36.7699100467,36.1686890934,36.3404665086,5297417,0.0,1.0
FOXA,2019-04-29 00:00:00+00:00,39.2,39.525,38.31,38.54,6885177,37.4093037589,37.7194574252,36.5599598725,36.7794532364,6885177,0.0,1.0
FOXA,2019-04-30 00:00:00+00:00,38.99,39.33,38.47,39.19,5044352,37.2088967745,37.5333652254,36.7126509083,37.3997605691,5044352,0.0,1.0
FOXA,2019-05-01 00:00:00+00:00,39.4,39.49,38.66,39.12,5149829,37.6001675536,37.6860562612,36.8939715132,37.332958241,5149829,0.0,1.0
FOXA,2019-05-02 00:00:00+00:00,37.28,39.47,37.08,39.23,11495855,35.5770113299,37.6669698817,35.3861475352,37.4379333281,11495855,0.0,1.0
FOXA,2019-05-03 00:00:00+00:00,37.47,37.75,37.12,37.41,4809763,35.7583319348,36.0255412474,35.4243202941,35.7010727964,4809763,0.0,1.0
FOXA,2019-05-06 00:00:00+00:00,37.92,37.99,36.96,37.17,4801609,36.1877754729,36.254577801,35.2716292584,35.4720362428,4801609,0.0,1.0
FOXA,2019-05-07 00:00:00+00:00,37.26,37.81,37.12,37.58,6053297,35.5579249504,36.0828003858,35.4243202941,35.8633070219,6053297,0.0,1.0
FOXA,2019-05-08 00:00:00+00:00,37.42,37.7,36.855,37.34,8635285,35.7106159862,35.9778252987,35.1714257662,35.6342704683,8635285,0.0,1.0
FOXA,2019-05-09 00:00:00+00:00,38.5,39.25,37.51,38.5,15210152,36.7412804775,37.4570197075,35.7965046938,36.7412804775,15210152,0.0,1.0
FOXA,2019-05-10 00:00:00+00:00,38.53,38.75,37.44,38.64,6742528,36.7699100467,36.9798602208,35.7297023656,36.8748851337,6742528,0.0,1.0
FOXA,2019-05-13 00:00:00+00:00,37.97,38.68,37.73,37.77,5604035,36.2354914215,36.9130578927,36.0064548679,36.0446276269,5604035,0.0,1.0
