symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HSIC,2017-04-06 00:00:00+00:00,168.9,169.05,167.3,168.45,355260,66.2352941176,66.2941176471,65.6078431373,66.0588235294,905912,0.0,1.0
HSIC,2017-04-07 00:00:00+00:00,167.55,169.42,167.46,168.95,343668,65.7058823529,66.4392156863,65.6705882353,66.2549019608,876353,0.0,1.0
HSIC,2017-04-10 00:00:00+00:00,168.92,169.44,167.355,167.71,384836,66.2431372549,66.4470588235,65.6294117647,65.768627451,981331,0.0,1.0
HSIC,2017-04-11 00:00:00+00:00,170.06,170.3,168.57,168.57,399525,66.6901960784,66.7843137255,66.1058823529,66.1058823529,1018788,0.0,1.0
HSIC,2017-04-12 00:00:00+00:00,168.73,169.43,166.22,166.22,457436,66.168627451,66.4431372549,65.1843137255,65.1843137255,1166461,0.0,1.0
HSIC,2017-04-13 00:00:00+00:00,167.85,169.11,167.73,169.1,217649,65.8235294118,66.3176470588,65.7764705882,66.3137254902,555004,0.0,1.0
HSIC,2017-04-17 00:00:00+00:00,168.87,169.23,167.6,168.28,252355,66.2235294118,66.3647058824,65.7254901961,65.9921568627,643505,0.0,1.0
HSIC,2017-04-18 00:00:00+00:00,167.7,168.47,166.78,168.44,311628,65.7647058824,66.0666666667,65.4039215686,66.0549019608,794651,0.0,1.0
HSIC,2017-04-19 00:00:00+00:00,167.98,168.85,166.86,168.37,281355,65.8745098039,66.2156862745,65.4352941176,66.0274509804,717455,0.0,1.0
HSIC,2017-04-20 00:00:00+00:00,169.4,169.76,166.93,168.16,505317,66.431372549,66.5725490196,65.462745098,65.9450980392,1288558,0.0,1.0
HSIC,2017-04-21 00:00:00+00:00,168.11,169.86,167.62,169.56,298116,65.9254901961,66.6117647059,65.7333333333,66.4941176471,760195,0.0,1.0
HSIC,2017-04-24 00:00:00+00:00,169.8,170.21,168.52,169.98,339872,66.5882352941,66.7490196078,66.0862745098,66.6588235294,866673,0.0,1.0
HSIC,2017-04-25 00:00:00+00:00,170.22,171.0,169.65,170.19,401058,66.7529411765,67.0588235294,66.5294117647,66.7411764706,1022697,0.0,1.0
HSIC,2017-04-26 00:00:00+00:00,173.18,173.36,170.2068,170.35,605214,67.9137254902,67.9843137255,66.7477647059,66.8039215686,1543295,0.0,1.0
HSIC,2017-04-27 00:00:00+00:00,174.175,174.69,173.23,173.47,357479,68.3039215686,68.5058823529,67.9333333333,68.0274509804,911571,0.0,1.0
HSIC,2017-04-28 00:00:00+00:00,173.8,174.44,173.23,173.76,355022,68.1568627451,68.4078431373,67.9333333333,68.1411764706,905306,0.0,1.0
